Z	charge	l	mult	delta	grade	source	B	witness	bound
4	1	0	3	0.791	measured	captured levels	2	witnessed	-
4	1	1	3	0.3773	measured	captured levels	0	witnessed	-
4	1	2	3	0.1109	measured	captured levels	0	witnessed	-
4	1	3	3	0.0305	measured	captured levels	0	witnessed	-
4	1	4	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
4	1	5	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
4	1	6	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
4	1	7	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
4	2	0	2	0.2623	measured	captured levels	1	witnessed	-
4	2	1	2	0.0491	measured	captured levels	0	witnessed	-
4	2	2	2	0.0021	measured	captured levels	0	witnessed	-
4	2	3	2	0.0001	measured	captured levels	0	witnessed	-
4	2	4	2	-0.0001	measured	captured levels	0	witnessed	-
4	2	5	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
4	2	6	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
4	2	7	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
4	3	0	1	0.0508	measured	captured levels	1	witnessed	-
4	3	1	1	0.06609	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
4	3	2	1	0.0008	measured	captured levels	0	witnessed	-
4	3	3	1	0.0002	measured	captured levels	0	witnessed	-
4	3	4	1	0.0002	measured	captured levels	0	witnessed	-
4	3	5	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
4	3	6	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
4	3	7	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
4	3	0	3	0.1302	measured	captured levels	1	witnessed	-
4	3	1	3	0.0429	measured	captured levels	0	witnessed	-
4	3	2	3	0.0023	measured	captured levels	0	witnessed	-
4	3	3	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
4	3	4	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
4	3	5	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
4	3	6	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
4	3	7	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
4	4	0	2	0.0004	measured	captured levels	0	witnessed	-
4	4	1	2	0.0004	measured	captured levels	0	witnessed	-
4	4	2	2	0.0002	measured	captured levels	0	witnessed	-
4	4	3	2	0.0001	measured	captured levels	0	witnessed	-
4	4	4	2	0.0001	measured	captured levels	0	witnessed	-
4	4	5	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
4	4	6	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
4	4	7	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
5	1	0	2	0.93108	computed	the channel equation	2	unwitnessed	none — separable series, simply not yet measured
5	1	1	2	0.53527	measured	NIST ASD fetched 2026-08-14 (session 1.8 queue); BI 2P* n=2-9, 11 members; median defect	0.19569	witnessed	limit 66928.04; one electron outside a closed shell
5	1	2	2	0.03920	measured	NIST ASD fetched 2026-08-14 (session 1.8 queue); BI 2D n=3-39, 38 members; median defect	0.10803	witnessed	limit 66928.04; one electron outside a closed shell
5	1	3	2	0.01382	measured	NIST ASD fetched 2026-08-14 (session 1.8 queue); BI 2F* n=4-11, 9 members; median defect	0.00449	witnessed	limit 66928.04; one electron outside a closed shell
5	1	4	2	0.0	computed	the channel equation	0	unwitnessed	none — separable series, simply not yet measured
5	1	5	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	1	6	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	1	7	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	2	0	1	0.4303	measured	captured levels	2	witnessed	-
5	2	1	1	0.3284	measured	captured levels	0	witnessed	-
5	2	2	1	-0.0323	measured	captured levels	0	witnessed	-
5	2	3	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
5	2	4	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
5	2	5	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	2	6	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	2	7	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	2	0	3	0.5211	measured	captured levels	2	witnessed	-
5	2	1	3	0.2231	measured	captured levels	0	witnessed	-
5	2	2	3	0.0772	measured	captured levels	0	witnessed	-
5	2	3	3	0.0397	measured	captured levels	0	witnessed	-
5	2	4	3	-0.0401	measured	captured levels	0	witnessed	-
5	2	5	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	2	6	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	2	7	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	3	0	2	0.1959	measured	captured levels	1	witnessed	-
5	3	1	2	0.0437	measured	captured levels	0	witnessed	-
5	3	2	2	0.0023	measured	captured levels	0	witnessed	-
5	3	3	2	0.0003	measured	captured levels	0	witnessed	-
5	3	4	2	0.0001	measured	captured levels	0	witnessed	-
5	3	5	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	3	6	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	3	7	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	4	0	1	0.0392	measured	captured levels	1	witnessed	-
5	4	1	1	-0.0096	measured	captured levels	0	witnessed	-
5	4	2	1	0.0007	measured	captured levels	0	witnessed	-
5	4	3	1	0.0004	measured	captured levels	0	witnessed	-
5	4	4	1	0.0002	measured	captured levels	0	witnessed	-
5	4	5	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	4	6	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	4	7	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	4	0	3	0.1011	measured	captured levels	1	witnessed	-
5	4	1	3	0.035	measured	captured levels	0	witnessed	-
5	4	2	3	0.0021	measured	captured levels	0	witnessed	-
5	4	3	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
5	4	4	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
5	4	5	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	4	6	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	4	7	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
5	5	0	2	0.0008	measured	captured levels	0	witnessed	-
5	5	1	2	0.0008	measured	captured levels	0	witnessed	-
5	5	2	2	0.0005	measured	captured levels	0	witnessed	-
5	5	3	2	0.0004	measured	captured levels	0	witnessed	-
5	5	4	2	0.0003	measured	captured levels	0	witnessed	-
5	5	5	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
5	5	6	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
5	5	7	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
6	1	0	1	1.0532	measured	captured levels	2	witnessed	-
6	1	1	1	0.63381	computed	the channel equation	1	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
6	1	2	1	0.032	measured	captured levels	0	witnessed	-
6	1	3	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
6	1	4	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
6	1	5	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	1	6	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	1	7	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	1	0	3	1.0925	measured	captured levels	2	witnessed	-
6	1	1	3	0.67087	measured	captured levels	1	witnessed	-
6	1	2	3	0.0638	measured	captured levels	0	witnessed	-
6	1	3	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
6	1	4	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
6	1	5	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	1	6	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	1	7	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	2	0	2	0.66195	measured	captured levels	2	witnessed	-
6	2	1	2	0.4244	measured	captured levels	0	witnessed	-
6	2	2	2	0.08013	measured	captured levels	0	witnessed	-
6	2	3	2	0.022	measured	captured levels	0	witnessed	-
6	2	4	2	0.0054	measured	captured levels	0	witnessed	-
6	2	5	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	2	6	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	2	7	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	3	0	1	0.3819	measured	captured levels	2	witnessed	-
6	3	1	1	0.1806	measured	captured levels	0	witnessed	-
6	3	2	1	0.0067	measured	captured levels	0	witnessed	-
6	3	3	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
6	3	4	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
6	3	5	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	3	6	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	3	7	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	3	0	3	0.3993	measured	captured levels	2	witnessed	-
6	3	1	3	0.1856	measured	captured levels	0	witnessed	-
6	3	2	3	0.0816	measured	captured levels	0	witnessed	-
6	3	3	3	0.0127	measured	captured levels	0	witnessed	-
6	3	4	3	0.0126	measured	captured levels	0	witnessed	-
6	3	5	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	3	6	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	3	7	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	4	0	2	0.2612	computed	the channel equation	1	unwitnessed	none — separable series, simply not yet measured
6	4	1	2	0.15624	computed	the channel equation	0	unwitnessed	none — separable series, simply not yet measured
6	4	2	2	0.0	computed	the channel equation	0	unwitnessed	none — separable series, simply not yet measured
6	4	3	2	0.0	computed	the channel equation	0	unwitnessed	none — separable series, simply not yet measured
6	4	4	2	0.0	computed	the channel equation	0	unwitnessed	none — separable series, simply not yet measured
6	4	5	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	4	6	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	4	7	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	5	0	1	0.0399	measured	captured levels	1	witnessed	-
6	5	1	1	0.0002	measured	captured levels	0	witnessed	-
6	5	2	1	0.0108	measured	captured levels	0	witnessed	-
6	5	3	1	0.0092	measured	captured levels	0	witnessed	-
6	5	4	1	0.0152	measured	captured levels	0	witnessed	-
6	5	5	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	5	6	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	5	7	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	5	0	3	0.0927	measured	captured levels	1	witnessed	-
6	5	1	3	0.0384	measured	captured levels	0	witnessed	-
6	5	2	3	0.0122	measured	captured levels	0	witnessed	-
6	5	3	3	0.0092	measured	captured levels	0	witnessed	-
6	5	4	3	0.0153	measured	captured levels	0	witnessed	-
6	5	5	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	5	6	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	5	7	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
6	6	0	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
6	6	1	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
6	6	2	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
6	6	3	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
6	6	4	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
6	6	5	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
6	6	6	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
6	6	7	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
7	1	0	2	1.104	measured	captured levels	2	witnessed	-
7	1	1	2	0.6233	measured	captured levels	1	witnessed	-
7	1	2	2	0.0273	measured	captured levels	0	witnessed	-
7	1	3	2	0.0	computed	the channel equation	0	unwitnessed	open-shell core, 3 parents
7	1	4	2	0.0	computed	the channel equation	0	unwitnessed	open-shell core, 3 parents
7	1	5	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	1	6	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	1	7	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	1	0	4	1.1697	measured	captured levels	2	witnessed	-
7	1	1	4	0.75215	measured	captured levels	1	witnessed	-
7	1	2	4	0.02775	measured	captured levels	0	witnessed	-
7	1	3	4	0.0	computed	the channel equation	0	unwitnessed	open-shell core, 3 parents
7	1	4	4	0.0	computed	the channel equation	0	unwitnessed	open-shell core, 3 parents
7	1	5	4	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	1	6	4	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	1	7	4	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	2	0	1	0.7325	measured	captured levels	2	witnessed	-
7	2	1	1	0.50228	computed	the channel equation	1	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	2	2	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	2	3	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	2	4	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	2	5	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	2	6	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	2	7	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	2	0	3	0.77037	measured	captured levels	2	witnessed	-
7	2	1	3	0.50228	computed	the channel equation	1	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	2	2	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	2	3	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	2	4	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	2	5	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	2	6	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	2	7	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	3	0	2	0.566	measured	captured levels	2	witnessed	-
7	3	1	2	0.2917	measured	captured levels	0	witnessed	-
7	3	2	2	0.0737	measured	captured levels	0	witnessed	-
7	3	3	2	0.0281	measured	captured levels	0	witnessed	-
7	3	4	2	0.0022	measured	captured levels	0	witnessed	-
7	3	5	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	3	6	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	3	7	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	4	0	1	0.2948	measured	captured levels	2	witnessed	-
7	4	1	1	0.1782	measured	captured levels	0	witnessed	-
7	4	2	1	0.0335	measured	captured levels	0	witnessed	-
7	4	3	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	4	4	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	4	5	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	4	6	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	4	7	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	4	0	3	0.49083	computed	the channel equation	2	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	4	1	3	0.24315	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	4	2	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	4	3	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	4	4	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	4	5	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	4	6	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	4	7	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	5	0	2	0.23263	computed	the channel equation	1	unwitnessed	none — separable series, simply not yet measured
7	5	1	2	0.16698	computed	the channel equation	0	unwitnessed	none — separable series, simply not yet measured
7	5	2	2	0.0	computed	the channel equation	0	unwitnessed	none — separable series, simply not yet measured
7	5	3	2	0.0	computed	the channel equation	0	unwitnessed	none — separable series, simply not yet measured
7	5	4	2	0.0	computed	the channel equation	0	unwitnessed	none — separable series, simply not yet measured
7	5	5	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	5	6	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	5	7	2	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	6	0	1	0.17231	computed	the channel equation	1	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	6	1	1	0.09276	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	6	2	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	6	3	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	6	4	1	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	6	5	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	6	6	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	6	7	1	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	6	0	3	0.17231	computed	the channel equation	1	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	6	1	3	0.09276	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	6	2	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	6	3	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	6	4	3	0.0	computed	the channel equation	0	unwitnessed	not keyable: no single 2S+1 (hole+electron or multi-valence)
7	6	5	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	6	6	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	6	7	3	0.0	computed	the channel equation	0	unwitnessed	series unresolved above ng in any published analysis
7	7	0	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
7	7	1	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
7	7	2	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
7	7	3	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
7	7	4	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
7	7	5	2	0.0	exact	one electron, delta = 0 by symmetry	0	unwitnessed	derived by symmetry; no measurement required
