year	work	class	where	note	contribution_held_in	proposed_target
1986	Inokuti & Manson	CITED-FULLER	mathematical, register, spectra	inokuti manson theodosiou		
1986	Stanley	OBJECT	the object's own apparatus	Every other shape the lattice contains | Palindromic rank polynomial ⟺ self-dual | The alternating specialisation | The cardinality | The fibres, in closed form | The first factor | The generating function | The language combinations | The rank polynomial | The second factor		
1988	Pearl	OBJECT	the object's own apparatus	Data-processing inequality + Pinsker | Independence is a triple property | The Markov property		
1989	Cooper	OBJECT	the object's own apparatus	Binary path consistency / 2-decomposability (Kimura et al. 2024)		
1989	Dechter & Pearl	OBJECT	the object's own apparatus	Exactness proves the three parts are not a triangle | Shape decides the seed | The constraint index | The refuted conjecture		
1989	Nouguier & Vilarem	IMPORT-OWED				
1991	Chinneck & Dravnieks	OBJECT	the object's own apparatus	The core at fifteen letters | The core at nine letters | The core is minimal | The defect does not scale		
1991	Cover & Thomas	OBJECT	the object's own apparatus	The arrows decay with distance		
1991	Drake & Swainson	OBJECT	the object's own apparatus	The polarisation formula		
1991	Kay-Wald	CITED	mathematical, register			
1992	Borchers	OBJECT	the object's own apparatus	Borchers 1992 / Wiesbrock 1993 | The modular ledger		
1992	Dechter	OBJECT	the object's own apparatus	Dechter 1992 | Global consistency (CSP)		
1993	Wiesbrock	OBJECT	the object's own apparatus	Borchers 1992 / Wiesbrock 1993 | The modular ledger		
1994	Nesterov & Nemirovskii	OBJECT	the object's own apparatus	Newton decrement, Nesterov–Nemirovskii 1994 | Self-concordance		
1995	Beek & Dechter	IMPORT-OWED				
1996	Lauritzen	OBJECT	the object's own apparatus	Data-processing inequality + Pinsker | Past, present and future | The Markov property | The arrows decay with distance | The box factorises | The detachable leaf | The fibres, in closed form | The two-body separation | The void-free fraction | Why a closed expression exists		
1998	Montgomery	IMPORT-OWED			ledger-threebody, threebody-paper	Mathematical Compendium, family 3B (three bodies)
1999	Deville	OBJECT	the object's own apparatus	Constraint tightness as a count | Monotone upper envelope / staircase bound | Orientation cost | The four-orientation operator | The recovery operator | The tightening rule		
1999	Hentenryck	OBJECT	the object's own apparatus	Constraint tightness as a count | Monotone upper envelope / staircase bound | Orientation cost | Staircase / connected row-convex | The four-orientation operator | The generation criterion | The one-corner characterisation | The tightening rule		
2000	Wald & Zoupas	OBJECT	the object's own apparatus	The presymplectic potential		
2000	Chenciner & Montgomery	IMPORT-OWED			ledger-threebody, threebody-paper	Mathematical Compendium, family 3B (three bodies)
2002	Montgomery	IMPORT-OWED			ledger-threebody, threebody-paper	Mathematical Compendium, family 3B (three bodies)
2003	Fredenhagen & Verch	CITED-FULLER	mathematical	brunetti fredenhagen verch		
2006	Hsiang & Straume	IMPORT-OWED				
2014	Montgomery	OBJECT	the object's own apparatus	Shape space and the shape sphere | The potential on shape space | The shape metric		
2017	Diestel	OBJECT	the object's own apparatus	The constraint graph		
2019	Fleischer & Knauf	IMPORT-OWED			ledger-threebody	Mathematical Compendium, family 3B (three bodies)
2021	Kol	IMPORT-OWED			ledger-threebody, threebody-paper	Mathematical Compendium, family 3B (three bodies)
2023	Kol	IMPORT-OWED				
2024	Sorce	OBJECT	the object's own apparatus	Sorce 2024		
2026	Lach, *The Löwdin Solution*	IMPORT-OWED				
2026	Lach, *The Three-Body Problem for Unknown Masses*	IMPORT-OWED				
