id	class	member	line	item	detail
14	C1-SECTION-POINTER-UNRESOLVED	reg	6317	§0	**T2 CLOSES: THE MEDIAN DECLARATION IS WRITTEN INTO THE SPECTRA COMPENDIUM AT ITS §0, WHERE δ IS DEFINED.** *The declaration states what was measured, not chosen: 430 of 433 exact-count series equal t
15	C5-REGISTER-POINTER-UNRESOLVED	reg	6529	R 1002	**R 1002'S ARCHIVE NOTE IS SUPERSEDED: T IS REFERENCED BY A COMPENDIUM, IN TWENTY-NINE PLACES.** *R 1002 recorded* Transitions *as archived and referenced by no compendium. The attribution pass at R 1
16	C5-REGISTER-POINTER-UNRESOLVED	reg	6529	R 1002	**R 1002'S ARCHIVE NOTE IS SUPERSEDED: T IS REFERENCED BY A COMPENDIUM, IN TWENTY-NINE PLACES.** *R 1002 recorded* Transitions *as archived and referenced by no compendium. The attribution pass at R 1
17	C5-REGISTER-POINTER-UNRESOLVED	reg	6529	R 1002	**R 1002'S ARCHIVE NOTE IS SUPERSEDED: T IS REFERENCED BY A COMPENDIUM, IN TWENTY-NINE PLACES.** *R 1002 recorded* Transitions *as archived and referenced by no compendium. The attribution pass at R 1
18	C1-SECTION-POINTER-UNRESOLVED	reg	6565	§8.7	**THE COMPLETE TRANSITION TABLE ENTERS THE INDEX OF INDICES, AND THE FORTY-SEVEN SECTIONS THIS WORK DOES NOT USE ARE NAMED FOR THE FIRST TIME.** *Register 1770 set the thirty cited sections of* Transi
19	C2-THEOREM-POINTER-UNPRINTED	mc	304	Theorem 10.1	### Adjunction never repairs (M Thm 10.1)
20	C2-THEOREM-POINTER-UNPRINTED	mc	310	Theorem 10.1	Proved — T 1.7 (App. G) / M §17.2 Thm 10.1; Birkhoff 1940.
21	C2-THEOREM-POINTER-UNPRINTED	mc	372	Theorem 9.1	Proved — M §14.1 (Thm 9.1, A.2); Moore 1910; Baker & Pixley 1975.
22	C2b-THEOREM-17.1-CITED-AS-§17.1	mc	1244	Theorem 17.1 / §17.1	**Five coordinates carry Λ₈'s object of transitions up to Λ₁₃, and each is a physical degree of freedom no function of the coordinates below it expresses — the door Theorem 17.1 (§17.1) requires every
23	C2-THEOREM-POINTER-UNPRINTED	mc	1494	Theorem 4.4	**A closed product form for |box ∩ Λ| exists exactly when the constraint graph is a tree of monotone binary bounds, and that condition decomposes into three facts, each separately necessary — proved. 
24	C1-SECTION-POINTER-UNRESOLVED	mc	2474	§6.5	*the split alphabet of T §6.5 (App. G)*
25	C1-SECTION-POINTER-UNRESOLVED	mc	2484	§5.1	*the coordinate set of T §5.1 (App. G)*
26	C1-SECTION-POINTER-UNRESOLVED	ioi	141	§5.7	**The edge list itself.** §5.7 of the companion says so outright. Nine searches were run against
27	C11-R-FORM-INCOMPLETE	mc	146	Closure defect	missing: grade | first lines: **E(X) = |ℛ(X)| − |X|** / *none* / Definitional — M §6.1 / T A4; Moore 1910
28	C6-NUMBERS-NOT-IN-SOURCE	mc	156	The metric defect	3 of 3: 269 271 1133 | sources § R1133
29	C11-R-FORM-INCOMPLETE	mc	156	The metric defect	missing: grade | first lines: **E_W(X) = |W(X)| - |X|: the METRIC defe / *an index whose cells carry values* / Definitional — R 1133; Dijkstra 1959.
30	C6-NUMBERS-NOT-IN-SOURCE	mc	168	The recovery operator	3 of 4: 109 243 271 | sources §6.1 R
31	C11-R-FORM-INCOMPLETE	mc	168	The recovery operator	missing: grade | first lines: **ℛ(X) = { x ∈ ∏_i Â_i(X) : x_i ≤ φ̂_ij( / *none beyond projection onto coordinate  / Definitional — M §6.1 / T A3; Moore 1910
32	C6-NUMBERS-NOT-IN-SOURCE	mc	178	The step operator	11 of 11: 116 220 1.08 1.13 1.16 1.43 1132 1137 1.185 1.233 1.416 | sources § R1132
33	C6-NUMBERS-NOT-IN-SOURCE	mc	190	The walk	4 of 4: 1132 1136 1,345 0.0000 | sources § R1132
34	C6-NUMBERS-NOT-IN-SOURCE	mc	202	Projection onto coordinate i	2 of 3: 377 387 | sources §6.1 R
35	C11-R-FORM-INCOMPLETE	mc	202	Projection onto coordinate i	missing: grade | first lines: **Â_i(X) = { x_i : x ∈ X }** / *X a finite set of integer tuples* / Definitional — M §6.1 / T A1; Codd 1970.
36	C6-NUMBERS-NOT-IN-SOURCE	mc	212	The anchor	1 of 5: 1136 | sources § R1136
37	C6-NUMBERS-NOT-IN-SOURCE	mc	224	The three blindnesses	4 of 6: 311 1169 1170 0.924 | sources § R761 R1169 R1170
38	C6a-ENTRY-NO-SOURCE-POINTER	mc	236	The defect bounds	no § or Register pointer in entry
39	C10-PROVED-WITHOUT-REGISTER	mc	236	The defect bounds	Proved — T audit 27; Moore 1910.
40	C6a-ENTRY-NO-SOURCE-POINTER	mc	246	Binary path consistency / 2-decomposability (Kimura et al. 2024)	no § or Register pointer in entry
41	C10-PROVED-WITHOUT-REGISTER	mc	246	Binary path consistency / 2-decomposability (Kimura et al. 2024)	Proved — T A5; Cooper 1989; Janssen et al. 1989.
42	C6-NUMBERS-NOT-IN-SOURCE	mc	256	The certificate condition	2 of 3: 285 309 | sources §18.4.1 R
43	C10-PROVED-WITHOUT-REGISTER	mc	256	The certificate condition	Proved — M §18.4.1, promoted; Tarski 1955.
44	C6-NUMBERS-NOT-IN-SOURCE	mc	266	Closure operator (Moore family)	3 of 4: 1.3 191 196 | sources §14.2 R
45	C10-PROVED-WITHOUT-REGISTER	mc	266	Closure operator (Moore family)	Proved — M §14.2 / T 1.3 (App. G); Moore 1910; Ward 1942.
46	C6a-ENTRY-NO-SOURCE-POINTER	mc	276	Dechter 1992	no § or Register pointer in entry
47	C11-R-FORM-INCOMPLETE	mc	276	Dechter 1992	missing: grade, prior-art | first lines: **strong (w*+1)-consistency on induced w / *induced width w** / Cited — Dechter 1992.
48	C10-PROVED-WITHOUT-REGISTER	mc	284	The defining letter	Proved — M §21.6.1; Birkhoff 1937.
49	C6a-ENTRY-NO-SOURCE-POINTER	mc	294	Density and informativeness	no § or Register pointer in entry
50	C6-NUMBERS-NOT-IN-SOURCE	mc	304	Adjunction never repairs (M Thm 10.1)	2 of 3: 1.7 10.1 | sources §17.2 R
51	C10-PROVED-WITHOUT-REGISTER	mc	304	Adjunction never repairs (M Thm 10.1)	Proved — T 1.7 (App. G) / M §17.2 Thm 10.1; Birkhoff 1940.
52	C6-NUMBERS-NOT-IN-SOURCE	mc	314	Description length	2 of 3: 465 471 | sources §25.3 R
53	C6-NUMBERS-NOT-IN-SOURCE	mc	324	Monotone upper envelope / staircase bound	2 of 3: 543 561 | sources §6.1 R
54	C11-R-FORM-INCOMPLETE	mc	324	Monotone upper envelope / staircase bound	missing: grade | first lines: **φ̂_ij(v) = max{ x_i : x ∈ X, x_j ≤ v } / *i ≠ j* / Definitional — M §6.1 / T A2; Deville et
55	C6-NUMBERS-NOT-IN-SOURCE	mc	334	E is coordinate-relative	2 of 3: 600 610 | sources §21.6 R
56	C10-PROVED-WITHOUT-REGISTER	mc	334	E is coordinate-relative	Proved — M §21.6; Birkhoff 1940; Birkhoff 1937; Dushnik & Miller 1941.
57	C10-PROVED-WITHOUT-REGISTER	mc	346	The expression always exists	Proved — M §15.2 corollary / §2.23; Moore 1910.
58	C6a-ENTRY-NO-SOURCE-POINTER	mc	356	Extensivity	no § or Register pointer in entry
59	C10-PROVED-WITHOUT-REGISTER	mc	356	Extensivity	Proved — T 1.2 (App. G) / M A.2; Moore 1910.
60	C6-NUMBERS-NOT-IN-SOURCE	mc	366	Bergman double-projection; Baker–Pixley 1975 (majority term)	4 of 5: 143 165 174 9.1 | sources §14.1 R
61	C10-PROVED-WITHOUT-REGISTER	mc	366	Bergman double-projection; Baker–Pixley 1975 (majority term)	Proved — M §14.1 (Thm 9.1, A.2); Moore 1910; Baker & Pixley 1975.
62	C6a-ENTRY-NO-SOURCE-POINTER	mc	376	Freuder 1982	no § or Register pointer in entry
63	C11-R-FORM-INCOMPLETE	mc	376	Freuder 1982	missing: grade | first lines: **a tree-structured constraint network i / *constraint graph acyclic* / Cited — T 1.10 (App. G); Freuder 1982.
64	C6a-ENTRY-NO-SOURCE-POINTER	mc	386	Global consistency (CSP)	no § or Register pointer in entry
65	C11-R-FORM-INCOMPLETE	mc	386	Global consistency (CSP)	missing: grade | first lines: **E(X) = 0 ⟺ the binary constraint netwo / *the constraints are the monotone binary / Cited — T 1.4 (App. G) / A5c; Freuder 19
66	C6-NUMBERS-NOT-IN-SOURCE	mc	396	Interior and exterior	3 of 9: 218 1196 1199 | sources § R1196
67	C6-NUMBERS-NOT-IN-SOURCE	mc	408	The logic level	3 of 4: 261 405 1173 | sources § R1173
68	C11-R-FORM-INCOMPLETE	mc	408	The logic level	missing: grade | first lines: **LOGIC is not a language: it is the mec / *a language with a closure operator* / Definitional — R 1173; Boole 1854; Tarsk
69	C6a-ENTRY-NO-SOURCE-POINTER	mc	420	Failure mode A — ordering	no § or Register pointer in entry
70	C6a-ENTRY-NO-SOURCE-POINTER	mc	430	Failure mode B — arity	no § or Register pointer in entry
71	C6a-ENTRY-NO-SOURCE-POINTER	mc	440	Montanari 1974	no § or Register pointer in entry
72	C11-R-FORM-INCOMPLETE	mc	440	Montanari 1974	missing: grade | first lines: **for monotone constraints, path consist / *constraints monotone* / Cited — T 1.10 (App. G); Montanari 1974.
73	C6-NUMBERS-NOT-IN-SOURCE	mc	460	Orientation cost	1 of 2: 750 | sources §14.5.5 R
74	C6a-ENTRY-NO-SOURCE-POINTER	mc	472	The product rule for closure	no § or Register pointer in entry
75	C10-PROVED-WITHOUT-REGISTER	mc	472	The product rule for closure	Proved — T D9; Birkhoff 1940.
76	C6a-ENTRY-NO-SOURCE-POINTER	mc	482	The product rule for the defect	no § or Register pointer in entry
77	C10-PROVED-WITHOUT-REGISTER	mc	482	The product rule for the defect	Proved — T D10; classical; Euler 1748.
78	C6-NUMBERS-NOT-IN-SOURCE	mc	504	ℛ as a relaxation	4 of 5: 479 513 750 2,3,4 | sources §14.5.4 R
79	C10-PROVED-WITHOUT-REGISTER	mc	504	ℛ as a relaxation	Proved — M §14.5.4; Beeri, Fagin, Maier & Yannakakis 1983.
80	C6-NUMBERS-NOT-IN-SOURCE	mc	514	The tightening rule	7 of 9: 1.8 109 243 402 543 561 271, | sources §14.4 §2.15.2 R402
81	C6a-ENTRY-NO-SOURCE-POINTER	mc	526	The polarisation formula	no § or Register pointer in entry
82	C11-R-FORM-INCOMPLETE	mc	526	The polarisation formula	missing: grade, prior-art | first lines: **delta(n) = (alpha/K(l))(3 - l(l+1)/n^2 / *a Rydberg electron that does not enter  / Cited — Seaton 1958; Drake & Swainson 19
83	C6a-ENTRY-NO-SOURCE-POINTER	mc	546	Staircase / connected row-convex	no § or Register pointer in entry
84	C11-R-FORM-INCOMPLETE	mc	546	Staircase / connected row-convex	missing: grade, prior-art | first lines: **phi-hat recovers a STAIRCASE constrain / *binary* / Cited — Deville, Barták, Van Hentenryck 
85	C6-NUMBERS-NOT-IN-SOURCE	mc	554	The one-corner characterisation	6 of 7: 109 243 271 543 561 750 | sources §14.5.4 R
86	C10-PROVED-WITHOUT-REGISTER	mc	554	The one-corner characterisation	Proved — M §14.5.4; Deville, Barette & Van Hentenryck 1999; van Beek & Dechter 1995.
87	C6-NUMBERS-NOT-IN-SOURCE	mc	564	The statistics operator	2 of 3: 976 1174 | sources § R1174
88	C11-R-FORM-INCOMPLETE	mc	564	The statistics operator	missing: prior-art | first lines: **the statistics operator is max-entropy / *an index of dimension d ≥ 3* / Measured — R 1174.
89	C6-NUMBERS-NOT-IN-SOURCE	mc	574	The three populations	6 of 11: 2.6 1.67 1199 1200 3.659 3.5667 | sources § R1199
90	C6-NUMBERS-NOT-IN-SOURCE	mc	586	The binary-projection criterion	3 of 5: 143 165 174 | sources §14.4 §2.15.2 R
91	C10-PROVED-WITHOUT-REGISTER	mc	586	The binary-projection criterion	Proved — M §14.4 / §2.15.2; Baker & Pixley 1975.
92	C6-NUMBERS-NOT-IN-SOURCE	mc	598	The generation criterion	4 of 6: 143 165 174 200 | sources §14.5.9 R
93	C10-PROVED-WITHOUT-REGISTER	mc	598	The generation criterion	Proved — M §14.5.9; EXPANSION-MC54 T1, L1.
94	C10-PROVED-WITHOUT-REGISTER	mc	608	The alphabet law	Proved — M §14.5.12; EXPANSION-MC54 T2, C2.1.
95	C6-NUMBERS-NOT-IN-SOURCE	mc	618	The seed as binary, corrected	2 of 6: 713 723 | sources §14.5.12 §14.5.14 R
96	C10-PROVED-WITHOUT-REGISTER	mc	618	The seed as binary, corrected	Proved — M §14.5.14; EXPANSION-MC54 T2; Shannon 1938.
97	C10-PROVED-WITHOUT-REGISTER	mc	628	The bounds are recoverable	Proved — M §15.2; Moore 1910.
98	C6-NUMBERS-NOT-IN-SOURCE	mc	638	The box seed law, d + c − 2	2 of 3: 161 166 | sources §14.5.9 R
99	C10-PROVED-WITHOUT-REGISTER	mc	638	The box seed law, d + c − 2	Proved — M §14.5.9; classical; Dilworth 1950; Birkhoff 1937.
100	C6a-ENTRY-NO-SOURCE-POINTER	mc	650	The Carathéodory lower bound	no § or Register pointer in entry
101	C11-R-FORM-INCOMPLETE	mc	650	The Carathéodory lower bound	missing: grade | first lines: **seed ≥ the Carathéodory number = the b / *semilattice with subsemilattices as con / Cited — Carathéodory / convexity spaces;
102	C6-NUMBERS-NOT-IN-SOURCE	mc	660	The envelope-step law	RETIRED W-237: not measured at this build | 1 of 2: 24,585 | sources §14.5.12 R
103	C10-PROVED-WITHOUT-REGISTER	mc	660	The envelope-step law	Proved — M §14.5.12; EXPANSION-MC54 T3; Condon & Shortley 1935.
104	C6-NUMBERS-NOT-IN-SOURCE	mc	670	The seed's forced set, corrected	2 of 5: 3, 2,1,3,3,2,1,3,0 | sources §14.5.10 §14.5.12 R
105	C6-NUMBERS-NOT-IN-SOURCE	mc	680	The seed is a set cover	2 of 3: 256 278 | sources §14.5.7 §14.5.9 R
106	C10-PROVED-WITHOUT-REGISTER	mc	680	The seed is a set cover	Proved — M §14.5.9; Karp 1972; Johnson 1974.
107	C6-NUMBERS-NOT-IN-SOURCE	mc	690	The down-set seed law, d + c − 1	2 of 3: 161 166 | sources §14.5.9 R
108	C10-PROVED-WITHOUT-REGISTER	mc	690	The down-set seed law, d + c − 1	Proved — M §14.5.9; Dilworth 1950.
109	C6-NUMBERS-NOT-IN-SOURCE	mc	700	The seed is an erasure structure	2 of 7: 157, 519, | sources §14.5.11 R
110	C6-NUMBERS-NOT-IN-SOURCE	mc	710	The ground-state derivation	7 of 7: 296 311 33, 1139 1141 311, 8,488 | sources § R1139
111	C6-NUMBERS-NOT-IN-SOURCE	mc	722	Λ's seed — seven cells	2 of 5: 5, 102 | sources §14.5.9 R
112	C10-PROVED-WITHOUT-REGISTER	mc	732	The open-index form, seed + E	Proved — M §21.5; Moore 1910.
113	C6-NUMBERS-NOT-IN-SOURCE	mc	742	The parent-term wall	4 of 5: 6, 367 382 1180 | sources § R1180
114	C6-NUMBERS-NOT-IN-SOURCE	mc	756	The regime coordinate	6 of 11: 1157 1162 0.230 0.267 0.270 0.761 | sources § R1157
115	C6-NUMBERS-NOT-IN-SOURCE	mc	770	The channel curve	22 of 25: 2, 24, 264 1150 1156 310, 0.018 0.549 0.561 0.627 0.752 0.858 0.859 0.907 0.979 1.150 1.194 1.373 1.427 3.696 5.264 8.53 | sources § R1150
116	C10-PROVED-WITHOUT-REGISTER	mc	782	A seed	Proved — M §14.5.7; Birkhoff 1937; Moore 1910.
117	C6-NUMBERS-NOT-IN-SOURCE	mc	792	The existence partition	12 of 14: 225 337 1191 1192 1287 0.333 2,929 17,428 24,312 26,641 28,527 100,991 | sources § R1191 R1287 R1577
118	C6-NUMBERS-NOT-IN-SOURCE	mc	804	The unit template, corrected	3 of 5: 0,1,1 24,585 3,0,1,1, | sources §14.5.11 §14.5.13 R
119	C6-NUMBERS-NOT-IN-SOURCE	mc	814	Non-uniqueness as a Krein–Milman failure	4 of 7: 247 270 290 299 | sources §14.5.11 §14.5.12 R
120	C10-PROVED-WITHOUT-REGISTER	mc	814	Non-uniqueness as a Krein–Milman failure	Proved — M §14.5.11; EXPANSION-MC54 P4; Edelman 1980; Edelman & Jamison 1985.
121	C10-PROVED-WITHOUT-REGISTER	mc	826	The family's defect, exactly	Proved — M §14.6.2; Moore 1910.
122	C6-NUMBERS-NOT-IN-SOURCE	mc	836	The family of closed sets	1 of 10: 196 | sources §14.5 §14.6 R1789
123	C6-NUMBERS-NOT-IN-SOURCE	mc	846	The family theorem	4 of 6: 285 309 182, 365, | sources §14.6 R
124	C10-PROVED-WITHOUT-REGISTER	mc	846	The family theorem	Proved — M §14.6; Tarski 1955; Ward 1942.
125	C10-PROVED-WITHOUT-REGISTER	mc	856	The unstatable family	Proved — M §14.6.1; Kolmogorov 1965.
126	C6-NUMBERS-NOT-IN-SOURCE	mc	868	The index of all constraints	4 of 5: 6, 21, 958 966 | sources §21.5.5 R
127	C6-NUMBERS-NOT-IN-SOURCE	mc	878	The book as an index	1 of 2: 578 | sources §30.1 R
128	C6-NUMBERS-NOT-IN-SOURCE	mc	888	The constraint index	2 of 3: 353 366 | sources §21.5.2 R
129	C6-NUMBERS-NOT-IN-SOURCE	mc	928	The reference index	1 of 3: 0, | sources §16.6.1 R
130	C6-NUMBERS-NOT-IN-SOURCE	mc	958	Statistics as a language	7 of 8: 0, 146 158 427 444 976, 1,048 | sources §20 R
131	C6-NUMBERS-NOT-IN-SOURCE	mc	968	The cycle rank of the tower	2 of 4: 0,0,1,1,1,1 0,0,1,1,2,2 | sources §12.11.1 §21.5.2 R1790
132	C6-NUMBERS-NOT-IN-SOURCE	mc	978	Independence is a triple property	1 of 2: 3, | sources §24.9 R
133	C6-NUMBERS-NOT-IN-SOURCE	mc	990	The closure theorem	1 of 2: 236 | sources §7.3 R
134	C6-NUMBERS-NOT-IN-SOURCE	mc	1022	The alternating specialisation	5 of 13: 0, 3, 6, 10, 12, | sources §11.1 §11.6 §11.8.1 §7.4 §8.3 R
135	C10-PROVED-WITHOUT-REGISTER	mc	1022	The alternating specialisation	Proved — M §11.8.1; Euler 1748; Stanley 1986.
136	C6a-ENTRY-NO-SOURCE-POINTER	mc	1032	The join-irreducible count	no § or Register pointer in entry
137	C6-NUMBERS-NOT-IN-SOURCE	mc	1042	The amplification	1 of 9: 3, | sources §16.8.4 §7.4 R1791
138	C6-NUMBERS-NOT-IN-SOURCE	mc	1062	The Birkhoff representation	8 of 12: 24, 33, 131,072 3,3,1,3,1 4,4,2,4,1 4,4,2,6,2 5,5,2,6,2 1,0,1,0,1,0,0,0 | sources §8.2 §8.3 R
139	C10-PROVED-WITHOUT-REGISTER	mc	1062	The Birkhoff representation	Proved — M §8.3; Birkhoff 1937.
140	C10-PROVED-WITHOUT-REGISTER	mc	1072	The Boolean representation	Proved — M §11.1.1; Birkhoff 1937; Shannon 1938.
141	C6-NUMBERS-NOT-IN-SOURCE	mc	1082	The box factorises	15 of 20: 1, 100 911 240, 280, 976, 8,847 25,748 116,138 475,800 3,3,1,3,1 4,4,2,5,1 5,5,2,6,1 2,1,2,0,2,0,0,0 3,1,3,2,3,1,1,3 | sources §10 §10.2 §10.4 §8.5 R
142	C10-PROVED-WITHOUT-REGISTER	mc	1082	The box factorises	Proved — M §10.4; Freuder 1982; Rota 1964; Lauritzen 1996.
143	C6-NUMBERS-NOT-IN-SOURCE	mc	1092	Node counting, ℓ ≤ n − 1	2 of 3: 361 376 | sources §7.1 R
144	C11-R-FORM-INCOMPLETE	mc	1092	Node counting, ℓ ≤ n − 1	missing: grade | first lines: **ℓ ≤ n − 1** / *hydrogenic radial solution* / Cited — M §7.1; Bohr 1913; Schroedinger 
145	C6-NUMBERS-NOT-IN-SOURCE	mc	1102	Pauli, k ≤ 4ℓ + 2	4 of 5: 719 765 783 736, | sources §7.1 R
146	C11-R-FORM-INCOMPLETE	mc	1102	Pauli, k ≤ 4ℓ + 2	missing: grade | first lines: **k ≤ 2(2ℓ+1) = 4ℓ+2** / *Pauli exclusion* / Cited — M §7.1; Pauli 1925; Stoner 1924.
147	C11-R-FORM-INCOMPLETE	mc	1112	The transfer bound	missing: grade | first lines: **q ≤ k** / *counting* / Definitional — M §7.1; Pauli 1925.
148	C11-R-FORM-INCOMPLETE	mc	1122	Node counting, f ≤ e − 1	missing: grade | first lines: **f ≤ e − 1** / *hydrogenic radial solution* / Cited — M §7.1; Bohr 1913.
149	C11-R-FORM-INCOMPLETE	mc	1132	Pauli, g ≤ 4f + 2	missing: grade | first lines: **g ≤ 4f+2** / *Pauli exclusion* / Cited — M §7.1; Stoner 1924; Pauli 1925.
150	C11-R-FORM-INCOMPLETE	mc	1142	The second transfer bound	missing: grade | first lines: **g ≤ q** / *counting* / Definitional — M §7.1; Pauli 1925.
151	C6-NUMBERS-NOT-IN-SOURCE	mc	1152	Vector coupling	2 of 3: 345 371 | sources §7.1 R
152	C11-R-FORM-INCOMPLETE	mc	1152	Vector coupling	missing: grade | first lines: **2S ≤ k** / *vector coupling on the source* / Cited — M §7.1; Hund 1925; Pauli 1925.
153	C11-R-FORM-INCOMPLETE	mc	1162	The occupancy floor	missing: grade | first lines: **k ≥ 1 (definitional restriction, not a / *a cell is a transition, not a state* / Definitional — M §10.2, reg. 301; Pauli 
154	C6-NUMBERS-NOT-IN-SOURCE	mc	1172	The surface is a cylinder	3 of 7: 1, 3, 5, | sources §12.1 §12.6.1 §12.9 §7.4 R
155	C10-PROVED-WITHOUT-REGISTER	mc	1172	The surface is a cylinder	Proved — M §12.1; König 1936; Harary 1953; Listing 1861; Möbius 1865; Freuder 1982.
156	C6-NUMBERS-NOT-IN-SOURCE	mc	1181	The most active constraint is the coupling itself	10 of 12: 1, 3, 25, 673 200, 300, 308, 564, 575, 673, | sources §13.3 §7.4 R
157	C10-PROVED-WITHOUT-REGISTER	mc	1181	The most active constraint is the coupling itself	Proved — M §13.3; Birkhoff 1940.
158	C6-NUMBERS-NOT-IN-SOURCE	mc	1192	The two-body separation	5 of 17: 1, 3, 165, 330, 345, | sources §10.4 §12.1 §12.6.1 §7.4 §8.5 R
159	C10-PROVED-WITHOUT-REGISTER	mc	1192	The two-body separation	Proved — M §12.6.1; Newton 1687; Lauritzen 1996.
160	C6-NUMBERS-NOT-IN-SOURCE	mc	1202	The fibres, in closed form	3 of 14: 1, 3, 300 | sources §10.4 §12.6.1 §12.7 §7.4 R
161	C10-PROVED-WITHOUT-REGISTER	mc	1202	The fibres, in closed form	Proved — M §12.7; Euclid c. 300 BCE; Euler 1748; Steenrod 1951; Harary & Schwenk 1973; Stanley 1986; Lauritzen 1996.
162	C6-NUMBERS-NOT-IN-SOURCE	mc	1212	Four numbers, five facts	6 of 27: 1, 3, 17, 1428 31,519 93,966 | sources §12.6.1 §12.8 §23.5 §7.3 §7.4 R
163	C10-PROVED-WITHOUT-REGISTER	mc	1212	Four numbers, five facts	Proved — M §12.8; Pareto 1896; Laplace 1812; Dedekind 1900; Birkhoff 1937; Harary & Schwenk 1973; Stanley 1989.
164	C6-NUMBERS-NOT-IN-SOURCE	mc	1222	Every other shape the lattice contains	11 of 24: 3, 1.9 11, 3.5 27.4 28.0 30.0 72.6 31,604 115,162 1,113,045,672, | sources §12.1 §12.9 §16.8 §7.4 §8.3 §8.4 R
165	C10-PROVED-WITHOUT-REGISTER	mc	1222	Every other shape the lattice contains	Proved — M §12.9; Birkhoff 1937; Stanley 1986; Brightwell & Winkler 1991; Sperner 1928; Dilworth 1950; Mirsky 1971; List
166	C6-NUMBERS-NOT-IN-SOURCE	mc	1232	Transitions compose	4 of 12: 485 2,050 2,535, 842,206 | sources §12.11.0 §12.11.3 §7.4 R
167	C10-PROVED-WITHOUT-REGISTER	mc	1232	Transitions compose	Proved — M §12.11.0; Eilenberg & Mac Lane 1945; Mac Lane 1971.
168	C6-NUMBERS-NOT-IN-SOURCE	mc	1242	The six axes of the tower	7 of 28: 1,654, 2,535, 6,912, 13,585, 27,648, 110,592, 663,552, | sources §12.11.1 §14.1 §17.1 §7.4 R
169	C6-NUMBERS-NOT-IN-SOURCE	mc	1252	Three excluded forms	1 of 18: 10, | sources §12.11.2 §14.4 §17.2 §36.3 §7.4 §8.4 R
170	C10-PROVED-WITHOUT-REGISTER	mc	1252	Three excluded forms	Proved — M §12.11.2; Pauli 1925; Racah 1942; Wigner 1927; Dilworth 1940.
