# Sn I — NIST ASD, captured 2026-08-14, register 1639.
# URL: energy1.pl?spectrum=Sn+I&units=0&format=2&conf_out=on&term_out=on&level_out=on&j_out=on&submit=Retrieve+Data
# destination_url VERIFIED — spectrum=Sn+I confirmed. Levels in cm-1.
#
# CAPTURE ONLY. Nothing extracted per R 1638.
#
# TWO LIMITS:
#   Sn II (5s2.5p 2P*<1/2>)  59232.69
#   Sn II (5s2.5p 2P*<3/2>)  63484.18
#
# 5s2.5p2 ground. Nearly all LS — ONE jj row only, 5s2.5p.(2P*<1/2>).5g
# at 54830.196.
#
# ** THE nd SERIES SPLITS ACROSS THE TWO LIMITS AND NIST MARKS THE SPLIT
#    WITH a/b LETTERS ON THE SAME TERM: "a 3P*" and "b 3P*", "a 3F*"
#    and "b 3F*", "a 3D*" and "b 3D*". The a-members sit below 59232
#    and the b-members above it. The letter is doing the job of the
#    LIMIT ASSIGNMENT, not of term disambiguation. **
#
#    ** THAT IS A NINTH USE OF THE LETTER PREFIX AND THE ONLY ONE WHERE
#       IT ENCODES WHICH PARENT THE SERIES CONVERGES ON. Recorded. **
#
# The nd series runs n = 5..27 and the ns to n = 19; both cross the
# first limit and continue to the second.
#
# ENERGY-LABELLED TERMS AGAIN, as in Hf I: "57935*", "58324*", "58594*",
# "58679*", "58748*", "58963*", "58983*", "59189*" — each the level's
# own value. Eight rows, empty configuration.
# Four rows carry a query on the level; one 1F* at 58862.17 marked "?".
#
# config	term	J	level_cm1	note
5s2.5p.7p	3S	1	55373.835	
5s2.5p.7p	1D	2	55500.973	
5s2.5p.7p	1S	0	56104.407	
5s2.5p.8p	3D	1	54070.814	
5s2.5p.8p	3D	2	54234.318	
5s2.5p.8p	3P	1	54225.628	
5s2.5p.8p	3P	0	54288.152	
5s2.5p.9p	3D	1	55751.947	
5s2.5p.9p	3D	2	55888.347	
5s2.5p.9p	3P	1	55856.737	
5s2.5p.5d	3F*	2	43682.737	
5s2.5p.5d	3F*	3	44576.006	
5s2.5p.5d	3F*	4	48107.27	
5s2.5p.5d	3D*	2	44144.368	
5s2.5p.5d	3D*	1	44508.677	
5s2.5p.5d	3D*	3	47487.696	
5s2.5p.5d	1D*	2	47145.684	
5s2.5p.5d	3P*	2	48669.409	
5s2.5p.5d	3P*	1	48981.934	
5s2.5p.5d	3P*	0	49487.127	
5s2.5p.5d	1F*	3	49893.823	
5s2.5p.5d	1P*	1	50125.971	
5s2.5p.6d	3D*	2	51010.937	
5s2.5p.6d	3D*	1	51474.718	
5s2.5p.6d	3D*	3	57181.71	
5s2.5p.6d	3F*	2	51160.520	
5s2.5p.6d	3F*	3	51754.671	
5s2.5p.6d	3F*	4	55444.611	
5s2.5p.6d	1D*	2	54713.310	
5s2.5p.6d	3P*	2	55296.252	
5s2.5p.6d	3P*	0	55621.90	
5s2.5p.6d	3P*	1	55688.377	
5s2.5p.6d	1F*	3	56298.005	
5s2.5p.6d	1P*	1	56659.180	
5s2.5p.7d	3F*	2	54211.744	
5s2.5p.7d	3F*	3	54653.830	
5s2.5p.7d	3F*	4	58521.907	
5s2.5p.7d	1D*	2	58390.58	
5s2.5p.7d	3P*	0	58465.59	
5s2.5p.7d	3P*	1	58523.55	
5s2.5p.7d	1F*	3	58862.17	q
5s2.5p.7d	1P*	1	59157.01	
5s2.5p.7d	3D*	3	59230	
5s2.5p.8d	3P*	2	55805.362	
5s2.5p.8d	3P*	0	60013	
5s2.5p.8d	3P*	1	60051.4	
5s2.5p.8d	3F*	2	55854.623	
5s2.5p.8d	3D*	1	56242.378	
5s2.5p.8d	3D*	3	60452.1	
5s2.5p.8d	1P*	1	60397.1	
5s2.5p.9d	3F*	2	56780.004	
5s2.5p.9d	3D*	1	57094.33	
5s2.5p.9d	3D*	3	61247.5	
5s2.5p.9d	3P*	0	60946	
5s2.5p.9d	3P*	1	60968	
5s2.5p.9d	1P*	1	61215.2	
5s2.5p.10d	3F*	2	57374.553	
5s2.5p.10d	3D*	1	57562.44	
5s2.5p.10d	3D*	2	61600.0	
5s2.5p.10d	3D*	3	61769.3	
5s2.5p.10d	3P*	0	61550	
5s2.5p.10d	3P*	1	61562	
5s2.5p.10d	1P*	1	61747.4	
5s2.5p.11d	3F*	2	57775.44	
5s2.5p.11d	3F*	3	57847.17	
5s2.5p.11d	3D*	1	57898.20	
5s2.5p.11d	3D*	2	62008.6	
5s2.5p.11d	3D*	3	62125.3	
5s2.5p.11d	3P*	0	61964.6	
5s2.5p.11d	3P*	1	61973.2	
5s2.5p.11d	1P*	1	62112.7	
5s2.5p.12d	3F*	2	58057.94	
5s2.5p.12d	3D*	1	58143.31	
5s2.5p.12d	3D*	3	62382.98	
5s2.5p.12d	3P*	0	62260.5	
5s2.5p.12d	3P*	1	62267.3	
5s2.5p.12d	1D*	2	62297.7	
5s2.5p.12d	1P*	1	62374.4	
5s2.5p.13d	3P*	1	62484.0	
5s2.5p.13d	1P*	1	62567.6	
5s2.5p.14d	3P*	1	62651.8	
5s2.5p.14d	1P*	1	62714.7	
5s2.5p.15d	3P*	1	62776.2	
5s2.5p.15d	1P*	1	62828.9	
5s2.5p.16d	3P*	1	62878.1	
5s2.5p.16d	1P*	1	62919.42	
5s2.5p.17d	3P*	1	62956.4	
5s2.5p.17d	1P*	1	62992.46	
5s2.5p.18d	3P*	1	63022.7	
5s2.5p.18d	1P*	1	63052.26	
5s2.5p.19d	3P*	1	63076.9	
5s2.5p.19d	1P*	1	63101.70	
5s2.5p.20d	3P*	1	63122.2	
5s2.5p.21d	3P*	1	63160.3	
5s2.5p.22d	3P*	1	63192.7	
5s2.5p.23d	3P*	1	63220.5	
5s2.5p.24d	3P*	1	63244.5	
5s2.5p.25d	3P*	1	63265.4	
5s2.5p.26d	3P*	1	63284.0	
5s2.5p.27d	3P*	1	63299.7	
5s2.5p.4f	3G	3	52248.822	
5s2.5p.4f	3G	5	56541.05	
5s2.5p.4f	3G	4	56549.647	
5s2.5p.4f	1G	4	52254.28	
5s2.5p.4f	3F	3	52263.589	
5s2.5p.4f	3F	4	56400.530	
5s2.5p.4f	3F	2	56488.327	
5s2.5p.4f	1D	2	52265.373	
5s2.5p.4f	1F	3	56395.886	
5s2.5p.4f	3D	3	56486.365	
5s2.5p.4f	3D	1	56630.744	
5s2.5p.4f	3D	2	56632.797	
5s2.5p.5f	3F	3	54762.862	
5s2.5p.5f	3F	2	54770.188	
5s2.5p.5f	3F	4	54771.898	
5s2.5p.5f	1F	3	54767.731	
5s2.5p.5f	3G	5	59039.80	
5s2.5p.5f	1D	2	59091.20	
5s2.5p.6f	1F	3	56132.848	
5s2.5p.6f	3F	3	56134.851	
5s2.5p.6f	3F	2	56135.589	
5s2.5p.6f	3F	4	56136.159	
5s2.5p.6f	3G	5	60399.93	
5s2.5p.7f	1F	3	56963.668	
5s2.5p.7f	3F	4	56965.911	
5s2.5p.7f	3F	3	56969.725	
5s2.5p.7f	3F	2	56970.512	
5s2.5p.8f	3F	4	57498.77	
5s2.5p.8f	3F	3	57499.57	
5s2.5p.8f	3F	2	57500.35	
5s.5p3	5S*	2	39625.506	two-outside
5s.5p3	3D*	2	53631.806	two-outside
5s.5p3	3D*	3	53826.604	two-outside
5s.5p3	3P*	0	63870	two-outside q
5s.5p3	3P*	2	64790	two-outside q
5s.5p3	3S*	1	75907.2	two-outside
5s.5p3	1P*	1	82840	two-outside q
# --- a/b LETTERS MARKING WHICH LIMIT THE SERIES CONVERGES ON
5s2.5p.7d	a 3D*	1	53592.774	limit-letter
5s2.5p.7d	b 3D*	1	55073.194	limit-letter
5s2.5p.8d	a 3F*	3	55741.165	limit-letter
5s2.5p.8d	b 3F*	3	60290	limit-letter
5s2.5p.9d	a 3P*	2	56546.137	limit-letter
5s2.5p.9d	b 3P*	2	57104.73	limit-letter
5s2.5p.9d	a 3F*	3	56838.68	limit-letter
5s2.5p.10d	a 3F*	3	57517.82	limit-letter
5s2.5p.10d	a 3P*	2	57533.30	limit-letter
5s2.5p.10d	b 3P*	2	61534.2	limit-letter
5s2.5p.10d	b 3F*	3	61696	limit-letter
5s2.5p.11d	a 3P*	2	57856.75	limit-letter
5s2.5p.11d	b 3P*	2	61963.0	limit-letter
5s2.5p.12d	a 3P*	2	58100.69	limit-letter
5s2.5p.12d	a 3F*	3	58100.89	limit-letter
5s2.5p.12d	b 3P*	2	62263.9	limit-letter
5s2.5p.12d	b 3F*	3	62350	limit-letter
5s2.5p.13d	b 3P*	2	62483.1	limit-letter
5s2.5p.14d	b 3P*	2	62647.8	limit-letter
5s2.5p.15d	b 3P*	2	62774.6	limit-letter
5s2.5p.16d	b 3P*	2	62871.2	limit-letter
5s2.5p.17d	b 3P*	2	62954.2	limit-letter
5s2.5p.18d	b 3P*	2	63018.1	limit-letter
5s2.5p.19d	b 3P*	2	63072.6	limit-letter
# --- THE ONE jj ROW IN THE TABLE
5s2.5p.(2P*<1/2>).5g	(1/2,7/2)*	3	54830.196	jj
# --- ENERGY-LABELLED TERMS, empty configuration
	57935*	1	57935.30	energy-term
	58324*	1	58324.00	energy-term
	58594*	1	58594.44	energy-term
	58679*	1	58679.11	energy-term
	58748*	1	58748.85	energy-term
	58963*	1	58963.49	energy-term
	58983*	1	58982.85	energy-term
	59189*	3	59189.49	energy-term
