id	pass	number	verdict	confidence	volume	already_docketed	reason	register_entry_marker	correction_label	correction_quote	conversation	conversation_title	msg
PO-0087	numeric	0.980	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6___The_Register-2.md		The quote withdraws register 500's kappa = S/4 - 1 at correlation +0.980, yet the register's entry 500 still asserts the +0.980 correlation and the resulting two-parent cost law with no supersession mark.		Six cycles of kappa expressions withdrawn as heuristic artefacts	# The κ apparatus does not survive. Six cycles of expressions were measuring the heuristic. ... | 497 | parents drive seed cost | **withdrawn** | | 498 | a two-parent axis costs a + 4 | **withdrawn** | | 499 | cost = a + κ(base) | **withdrawn** | | 500 | κ = S/4 − 1, corr +0.980 | **withdrawn** | | 502 | the second variable is c | **withdrawn** | | 501 | **2S = tight-pair count** | **survives**	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	230
PO-0087	numeric	502	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6___The_Register-2.md		The quote lists register 502 (the second variable is c) as withdrawn, but the register's entry 502 still reads THE PREDICTION HELD and quotes c's rms 0.426 as a standing result.	unmarked	Six cycles of kappa expressions withdrawn as heuristic artefacts	# The κ apparatus does not survive. Six cycles of expressions were measuring the heuristic. ... | 497 | parents drive seed cost | **withdrawn** | | 498 | a two-parent axis costs a + 4 | **withdrawn** | | 499 | cost = a + κ(base) | **withdrawn** | | 500 | κ = S/4 − 1, corr +0.980 | **withdrawn** | | 502 | the second variable is c | **withdrawn** | | 501 | **2S = tight-pair count** | **survives**	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	230
PO-0087	numeric	500	LIVE-SUPERSEDED	HIGH	The_Method_1_6___The_Register-2.md		register 500 is unmarked and still states the withdrawn kappa = 0.2506*S - 0.765 at +0.980		Six cycles of kappa expressions withdrawn as heuristic artefacts	# The κ apparatus does not survive. Six cycles of expressions were measuring the heuristic. ... | 497 | parents drive seed cost | **withdrawn** | | 498 | a two-parent axis costs a + 4 | **withdrawn** | | 499 | cost = a + κ(base) | **withdrawn** | | 500 | κ = S/4 − 1, corr +0.980 | **withdrawn** | | 502 | the second variable is c | **withdrawn** | | 501 | **2S = tight-pair count** | **survives**	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	230
PO-0091	claim	(claim, no number)	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6-2.md	partly: WORKING-REGISTER.md (chat-81 entry) and Register 1790 own the caption, for DIFFERENT fields	"CONFIRMED as a live scope claim, with a qualification the adjudicator did not have. ""The shortfall of one level holds for the whole tower and not only for a K3"" stands unmarked at main L5751 (Figure 21.1 caption) and L5773 (SS21.5.3 table), and Register 1953 repeats it. The same caption says ""The base L8 is a caterpillar"" and that each two-parent axis adds a cycle from L10 onward; MC L1644 gives L8 as ""8 nodes, 7 edges, a caterpillar; treewidth 1"" and MC L1324 states treewidth 1 <=> exact closure under R. BUT: Register 1790, a banked CORRECTION, re-asserts the scope - ""its treewidth is still 2, so SS21.5.1's ONE-LEVEL SHORTFALL STANDS ... now inside the tower itself"" - while its own stage table gives cycle rank (0, 0, 1, 1, 2, 2), i.e. L8 and L9 are trees. So the volume and a later correction agree with each other and disagree with their own data. Confidence held at MEDIUM for that reason. The caption is already on the repair list (Register 1790, WORKING-REGISTER) but for node count, edge count, girth, radius, leaves and the triangle - NOT for the tower-wide scope, which 1790 endorses."		R is exactly sufficient at Lambda-8, not one level short	**§21.5.1 says ℛ falls exactly one level short of Freuder's bound. That is true at treewidth 2, not at treewidth 1.** ... **At Λ₈, ℛ is not one level short. It is exactly sufficient.** The shortfall appears at Λ₁₀ when v takes two parents and the cycle rank rises ... §21.5.1 states the Λ₁₃ figure as though it held throughout.	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	443
PO-0094	numeric	599	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6___The_Register-2.md		The quote says register 599 is narrowed because a language that cannot state a defect is not a sixth language, yet the register's entry 599 still stands headed STATISTICS IS A SIXTH LANGUAGE.	unmarked	Statistics recovers 976 but reports E = 0 on open indices	| **periodic table** | **36** | **0** | | **calendar** | **7** | **0** | **Marginals cannot see a hole.** ... it means statistics **agrees with the other languages only where there is nothing to disagree about.** ... **A language that cannot state a defect is not a sixth language in §20's sense, and register 599 is narrowed accordingly.**	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	517
PO-0101	numeric	807	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6___The_Register-2.md		The correction says registers 804-807 tested the wrong claim because the law is that delta approaches delta-zero, yet register 807 still frames the testable claim as within a channel delta falls monotonically with n.	unmarked	δ approaches δ₀ monotonically; sign(δ₂) sets the direction	"**The law is not ""δ falls monotonically"". It is ""δ approaches δ₀ monotonically"", and the direction is sign(δ₂) — a property of the channel.** > > **Registers 804–807 spent four registers getting an inconclusive result because they were measuring the wrong claim.** The 13% rising were never anomalies."	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	846
PO-0105	numeric	0.922	LIVE-SUPERSEDED	HIGH	The_Method_1_6___The_Register-2.md		"The quote voids ""k = 0.922, unity excluded"" as resting on the wrong functional form, yet the register still asserts k = 0.9220 +/- 0.0324 with k = 1 EXCLUDED at t = -2.41 as a standing finding."		The ln(Ne) defect law refuted as Thomas-Fermi scaling	| claim | verdict | |---|---| | b has its own law in ln(Nₑ) | **refuted** — b is a proxy for δ_neutral, adds nothing | | two logarithms multiplying | **refuted** — one power law, in the neutral defect | | k = 0.922, unity excluded | **void** — the wrong functional form | | shell-position term | **refuted** — p = 0.113, absorbed the log's misfit |	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	1014
PO-0107	numeric	1148	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6___The_Register-2.md	number string seen in: READ-ch3.md; READ-ch5.md; WORKING-REGISTER.md	"The quote withdraws register 1148's Sr I nd finding as a floor-comparison error, but the register still prints entry 1148 as ""A STRUCTURAL FLAW REMAINS"" on delta = 2.38 against B = 2 with no correction marker."	unmarked	Sr I nd was never a structural flaw	> **Channels with δ > B: 176 of 311. Channels with ⌊δ⌋ > B: 0 of 311.** ... **Register 1148 recorded Sr I nd as a structural flaw because δ = 2.38 > B = 2.** But **⌊2.38⌋ = 2 = B**, and the bound is satisfied. **I compared δ to a bound on ⌊δ⌋ and called the mismatch a flaw.**	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	1214
PO-0124	numeric	1.732	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6___The_Register-2.md	number string seen in: READ-ch16z.md; READ-ch34re.md	The correction falsifies t(l) = sqrt(l(l+1)/2) at s and d (measured 1.6214 against the predicted 1.732), yet the volume still asserts that form as confirmed, quoting the d ratio 1.7354 against sqrt(3) = 1.7321 at 0.19% (and the Index of Indices prints 1.7321 as the d limit).		Centrifugal entry-point form falsified at s and d	**0.2655, 1.0564, 1.6214.** Differences **0.791 and 0.565** — not linear. **√(ℓ(ℓ+1)/2) gives 0, 1, 1.732** — right at p, wrong at both ends. **Two points fitted, one predicted, and the prediction missed in both directions.**	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	1979
PO-0128	numeric	1395	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6___The_Register-2.md	number string seen in: DEFERRED.md; READ-ch3.md; READ-warn.md	The correction replaces register 1395's split with 38 beyond and 20 within, yet the register entry still stands as 'THE RESIDUAL IS ELEVEN NAMED CELLS', the eleven the correction withdrew.	MARKED:WARNING	Register 1395's 47/11 split superseded by 38/20	The split isn't 47/11. At the correct limit it's **38 beyond, 20 within** — and the extra nine are not new physics, they're elements 109 to 118 whose ground configurations `ground.py` holds but which register 1395's arithmetic put beyond the edge. ... The limit was my data's edge, not the subject's.	f2069859-86cc-427e-a1e2-09f1321b39ae	The Method 1.6.1	331
PO-0136	numeric	1461	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6___The_Register-2.md	number string seen in: DEFERRED.md; DOCKET.md; READ-21a.md; READ-ch26a.md	The quote retracts exactly what register 1461 claimed - that the atomic order is additively representable - and the volume's entry 1461 still carries that as its headline finding with no refutation note visible.	unmarked	Atomic table is not additively representable as one system	I wrote in 1461 that the atomic order *is* additively representable because 106 of 106 corridors are non-empty. Applying that entry's own imported warning to that entry: **it isn't.** ν has one parameter, so those are **106 separate one-dimensional feasibility results, not one system.** Solved as one system the table is **infeasible** — the running intersection empties fourteen times.	4945af0e-6ff8-45ee-a138-940c87ad90a4	The Method 1.7	206
PO-0145	numeric	1595	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6___The_Register-2.md	number string seen in: READ-warn.md	"The quote states flatly that there is no cache and that register 1595's per-host-and-path account got the cause wrong, yet the volume's correction table still carries register 1595 asserting ""the block is the cache""."	unmarked	There is no fetch cache: only a permitted-URL set	"**There is no cache. There never was.** no permitted URL matches → REFUSED, and you know it a permitted URL matches → SERVED — the PERMITTED url, not the one asked for **Register 1595 said ""one response per host and path per session.""** That fits every observation and gets the cause wrong ... Register 1628 then compounded it by describing two mechanisms where there is one."	4945af0e-6ff8-45ee-a138-940c87ad90a4	The Method 1.7	666
PO-0145	numeric	1628	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6___The_Register-2.md	number string seen in: DEFERRED.md; READ-ch28a.md; READ-warn.md	"The quote says register 1628 compounded the error by describing two mechanisms where there is one, and the volume's entry 1628 still reads ""BY A DIFFERENT MECHANISM FROM REGISTER 1595's, AND THE SAFER ONE""."	unmarked	There is no fetch cache: only a permitted-URL set	"**There is no cache. There never was.** no permitted URL matches → REFUSED, and you know it a permitted URL matches → SERVED — the PERMITTED url, not the one asked for **Register 1595 said ""one response per host and path per session.""** That fits every observation and gets the cause wrong ... Register 1628 then compounded it by describing two mechanisms where there is one."	4945af0e-6ff8-45ee-a138-940c87ad90a4	The Method 1.7	666
PO-0158	claim	(claim, no number)	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6-2.md	no	"CONFIRMED. main L3375 prints ""The exact coupling region is not a lattice in any presentation tried"" over five componentwise meet/join failure counts, unmarked, and the three-body paper repeats it as Law 3 (""Therefore the exact three-body region is not a lattice"", L79, L157). Componentwise failure refutes sublattice-hood of the product, not lattice-hood - a distinction the corpus holds elsewhere (READ-ch16b: ""zero join leaks, zero meet leaks - L8 is a sublattice""; MC L516: ""the index is a sublattice of a product of chains""). WORKING-REGISTER W-101's ""not a lattice"" is a different object (max/min as a homomorphism), so this is not docketed."		§9.4 rejects sublattice-hood, not lattice-hood	"§9.4 ... is a *sufficient condition for sublattice-hood*. It has been used throughout the project as a rejection criterion: for the h axis, for metric coordinates in §22.2 with its 14,293 failures, for L, for spin projection, for Z. Every one of those rejections establishes ""not a sublattice of the product."" None of them establishes ""not a lattice."""	35d529f0-6057-4dc0-bbe6-fdf7a3f7e7eb	indexing without prediction	97
PO-0190	numeric	314	LIVE-SUPERSEDED	MEDIUM	The_Method_1_6-2.md		The correction withdrew register 314's headline and supporting evidence — Lambda-10 was never structurally barred from composing and Lambda-9 is not alone at the top — yet the volume still asserts as register 314's result that 'Lambda-10 loses composition' and builds the nine-is-unique claim on it.	unmarked	Composition above the ninth axis: the tower's bar was inherited	Register 314's general claim stands: *an axis can be exact and not composable; none is composable and not exact.* What falls is its supporting evidence and its headline. Λ₁₀ was never structurally barred from composing — the tower simply carried seniority on one end and not the other, and the asymmetry was inherited rather than forced. **Λ₉ is not alone at the top of the stricter grading.**	71fbff63-e72f-4fe7-8074-bb60a026dfcb	time travel	101
PO-0006	numeric	164	CORRECTION-SUPERSEDED	HIGH	The_Method_1_6___The_Register-2.md		the Register does begin at entry 1; Ruling 66 later seated the genesis block flat, so the CORRECTION is the stale record, not the volume		Register never held entries 1-164; 165 is its floor	"**The register isn't missing 1–164 — it never held them.** The register is a single, continuous, append-only log numbered in the order the work happened, and it does not restart per document. The Method's register has *always* begun at 165: The Method 1.2's own collaborator note records the register as ""165 to 204"" at that time, and 1.6 is ""165 to 1786."""	da80a574-2f74-426b-9157-83f0a2745cc6	51	15
PO-0009	claim	(claim, no number)	CANNOT-TELL	MEDIUM	The_Method_1_6-2.md		"The Preface prints the same shape of sentence but without the disputed word ""real"", and §16.6 attributes non-runnability to ⅅ_ref (""no — the verdict must be read"") while grading ⅅ_gro runnable, so I cannot decide whether this is the withdrawn form surviving or the corrected form as landed."		Coordinates are real; method also applies to intangibles	Neither can guarantee the coordinates refer to anything real — that one check must reach outside the index, and it is the single defence this book cannot fully run on itself.) - incorrect considering the entire genesis started with rebuilding the 2D periodic table into a 3D index. The coordinates are real coordinates, but the method can be applied in concept to none tangible subject matter as well	182637ad-bb08-42e0-ae6e-58708afa667a	52	118
PO-0086	numeric	750	CANNOT-TELL	MEDIUM	The_Method_1_6___The_Register-2.md		The correction withdraws §14.5.4's characterisation while retaining 750 as ℛ's own (≤,≤)-corner output, and the cited Register passage reports only that E = 750 for the parity congruence without making the withdrawn claim, so the excerpt cannot decide it.		R is one orientation of the staircase class, not the class	**The parity rule is a staircase.** Under all four orientations its defect is **zero**, and ℛ reports 750 because ℛ is the **(≤,≤) corner only**. ... > **ℛ is not the staircase closure. It is one orientation of it, and E measures distance from a one-orientation subclass — not from Deville's class.** §14.5.4 ... says *E(ℛ) = 0 iff X is an intersection of staircases* ... **That is wrong in the direction that matters**	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	178
PO-0107	numeric	2.38	CANNOT-TELL	LOW	The_Method_1_6___The_Register-2.md		The supplied excerpts are register 868 and the Physics Compendium on the reduced-mass Rydberg systematic and do not contain 2.38 at all, so nothing can be judged from them.		Sr I nd was never a structural flaw	> **Channels with δ > B: 176 of 311. Channels with ⌊δ⌋ > B: 0 of 311.** ... **Register 1148 recorded Sr I nd as a structural flaw because δ = 2.38 > B = 2.** But **⌊2.38⌋ = 2 = B**, and the bound is satisfied. **I compared δ to a bound on ⌊δ⌋ and called the mismatch a flaw.**	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	1214
PO-0111	claim	(claim, no number)	CANNOT-TELL	MEDIUM	The_Method_1_6___The_Register-2.md		"The Register carries the correction's own table and its conclusion ""The invariant is the CHARGE"" at register 1264, yet keeps the Z−T sigmoid ""unchanged"" at 1271 and re-cites Q.collapse's Z = 21/57/89 threshold later, while registers 1315 and 1326 correct the replacement itself (three of the four ladders cross at c = 2, not c = 3) — so it cannot be decided whether a withdrawn claim still stands."		The collapse switch is keyed on charge, not on Z − T	| **20** | 4s² | 3d 4s | **3d²** | | **38** | 5s² | 5s² | **4d²** | | **56** | 6s² | 5d² | **4f²** | | **88** | 7s² | 6d 7s | **6d²** | > **The equation's `D = Z − T` is measuring the transition on the wrong axis.** ... **There is one transition, it happens at c = 3**	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	1513
PO-0119	numeric	1.0065	CANNOT-TELL	MEDIUM	The_Method_1_6___The_Register-2.md		Register 1286 carries the same C' = 1.0065 that the correction explicitly preserves as a valid measurement while withdrawing only its status as an independent term, and the excerpt does not show whether the volume uses it as a separate term alongside u.		The separate charge term is redundant given u	# **The charge term is redundant. F = 0.60, and AIC prefers the form without it.** ... **Law 3 — x = e^(−u/2) with C′ = 1.0065 — was real as a *measurement*: fit δ against c within a sequence and you get that slope.** But it is **not an independent term**: the same information is in u, and putting both in is double-counting. **That's why every joint fit traded them.**	3851d6dc-a805-49de-a922-d81e36fba67c	The Method 1.6	1696
PO-0133	numeric	102	CANNOT-TELL	LOW	The_Method_1_6-2.md		102 is the replacement value, and the volume's '87 of 102 elements' is a greedy-covering count whose base may or may not be the corrected observation edge.		Observation ends at Z=102, not 108; four edges	**So I had the edge in the wrong place, and it's worth correcting plainly.** I told you 108 was where spectroscopically determined ground configurations end. It isn't. **Observation ends at 102.** What NIST lists for 103 through 108 are configurations from calculation and chemical homology — and the fetch itself showed it: every ionisation energy in those five rows carried a flag	4945af0e-6ff8-45ee-a138-940c87ad90a4	The Method 1.7	106
PO-0149	claim	(claim, no number)	CANNOT-TELL	MEDIUM	The_Method_1_6-2.md		Figure 24.1 and register 1758 still attribute the Al I nd rise to perturbation and the Spectra Compendium still prints a δ̄ of +0.0248 for the channel, but §B.3's own stated cause is 'compilers relabelled this series', which is partly the corrected labelling account, so I cannot decide whether the volume asserts the withdrawn form.		Al I nd labels are ordering labels, not quantum numbers	**The Al I nd labels are ordering labels, not principal quantum numbers.** A quantum defect computed from them is not a physical quantity — which is why it rises monotonically instead of staying flat, and why any δ̄ for this channel depends entirely on which labelling convention was used.	90e1dabf-fa50-4e1a-96a0-6e30c5bde46c	electromagnetism	34
PO-0002	claim	(claim, no number)	CORRECTLY-UPDATED	HIGH	The_Method_1_6-2.md		"§12.11.0.11 and Register 1237 (""THE FOURTEENTH AXIS BOUNDED WITHOUT BEING BUILT"") both state the tower stops at thirteen and that the fourteenth axis is bounded, never constructed; no volume names a Λ₁₄ object or the time-travel paper as its source (the paper appears only as reference L11604)."		No 14D index exists; the framing was conversational only	"**there is no Λ₁₄ built or defined in this project, and no ""14-dimensional index"" as a closed object.** ... **A named ""14th dimension,"" a Λ₁₄ object, a closed 14D index containing time and space, and any connection to a paper titled ""On the Matter of Time Travel""**: **not found in any file, register entry, or compendium in this project.** ... it lived **only in conversation**"	8337f2ad-4a23-4178-a546-6f09824d7451	14-dimensional lattice framing and provenance	1
PO-0003	numeric	1,312	CORRECTLY-UPDATED	HIGH	The_Method_1_6___The_Index_of_Indices-2.md		1,312 is the denominator the correction says was never in doubt, and the volume prints it inside the corrected ceiling (1,312 - 14)/1,312 = 98.9%, not the withdrawn 98.6%.		IOI-09: ceiling corrected from 98.6% to 98.9%	Ceiling = (1,312−14)/1,312 = **98.93%**. And 98.6% is exactly (1,312−**18**)/1,312 — 18 being the count of the *P I / Cd I / Ti II* group, the kind that **is** fixable. The printed ceiling was computed off the wrong one of the three kinds.	1508e9be-eca9-460d-8aae-71676de0ed40	25	3
PO-0003	numeric	98.93	CORRECTLY-UPDATED	HIGH	The_Method_1_6___The_Register-2.md		98.93% is the replacement ceiling the correction moved to, and the volume states it explicitly while identifying 98.6% as the wrong subtraction of eighteen.		IOI-09: ceiling corrected from 98.6% to 98.9%	Ceiling = (1,312−14)/1,312 = **98.93%**. And 98.6% is exactly (1,312−**18**)/1,312 — 18 being the count of the *P I / Cd I / Ti II* group, the kind that **is** fixable. The printed ceiling was computed off the wrong one of the three kinds.	1508e9be-eca9-460d-8aae-71676de0ed40	25	3
PO-0004	claim	(claim, no number)	CORRECTLY-UPDATED	MEDIUM	THE-LOWDIN-SOLUTION-2.md		§VI.1 of the Löwdin volume carries the two-branch account verbatim as the correction states it, and the withdrawn per-file/82-of-82 material appears nowhere in the nine volumes (only in the non-volume WORKING-REGISTER.md).		The fourteen are two coexisting Hartree-Fock solutions	**§VI.1** — near a collapse transition the Hartree–Fock equations admit **two coexisting solutions of the same configuration**, an outer-well one and a collapsed one, *each a genuine stationary point with its own converged mean field*. A series carrying the same n at two energies — `[4,4,5,5,6,7]`, `[3,3,4,4,…]` — is that two-branch structure.	01318618-b019-4f12-9719-c63040f506bd	33	7
PO-0006	numeric	165	CORRECTLY-UPDATED	MEDIUM	The_Method_1_6___The_Register-2.md		The quote fixes 165 as the register's floor and the volume treats 165 to 1791 as the mature record, matching the corrected reading.		Register never held entries 1-164; 165 is its floor	"**The register isn't missing 1–164 — it never held them.** The register is a single, continuous, append-only log numbered in the order the work happened, and it does not restart per document. The Method's register has *always* begun at 165: The Method 1.2's own collaborator note records the register as ""165 to 204"" at that time, and 1.6 is ""165 to 1786."""	da80a574-2f74-426b-9157-83f0a2745cc6	51	15
