id	category	label	quote	conversation	conversation_title	msg	identifiers	why	confidence
PO-0036	CORRECTION	F31.2: both R and Z underbind from the same side	"FINDING-RING attributed Sc's overshoot under R to ""RPA overbinding""... R is *never* over: R − bench = +0.005 (r_s 1) to +0.012 (r_s 10), Z − bench = +0.013 to +0.043, both spin states... **Both forms underbind the same exact local object from the same side**... So the s30 statement ""the d-row object is non-local"" is not supported"	731edcd7-68aa-49d2-aa7e-c5b4102cbdd5	LCP29	5	F31.2; PM3; FINDING-RING; SOSEX	Withdraws a banked structural claim (the d-row object is non-local) and replaces it with the missing screened second-order exchange at r_s ~ 2.	HIGH
PO-0037	CORRECTION	Spin-orbit stabilises rather than quenches the LS term	"FINDING-TERMS §4's speculation — ""the LS term energy is an upper bound that SO quenches"" — was **wrong in sign**, and the prediction file said so before the numbers, with the reason: the average of configuration is invariant to SO, and the ground level sits *below* its LS term in every coupling scheme. SO adds stabilisation; it doesn't remove it. Quenching was the wrong picture."	0913e969-adb6-4398-8c19-16913f249034	LCP36	9	FINDING-TERMS §4; PS-1	A recorded finding file carries a sign error that this prose corrects; anyone reading FINDING-TERMS alone would repeat it.	HIGH
PO-0038	CORRECTION	Thirteen-row table is n+l's own counterexample set	**The 13 rows are the exceptions, not the rule.** La, Ce, Gd, Lu, Ac, Th, Pa, U, Cm — these are largely the ~20 known Madelung violations. Th's record ground state is 6d²7s² where n+ℓ says 5f²7s². We selected the frontier precisely because it is where the rule is marginal or fails. Getting all 13 right would demonstrate that SR-HF is an accurate field. It would not derive n+ℓ	455266f8-d3b5-4960-acda-cbf81b38edd5	LCP37	11	SR-HF	Names the structural error of three sessions: you cannot derive a rule from the set of its counterexamples.	HIGH
PO-0039	CORRECTION	Kitagawara & Barut 1983 predates Belokolos; R 1450 attribution owed	"**Row 3 — Kitagawara & Barut 1983** (J. Phys. B 16, 3305, ""Period doubling in the n+ℓ filling rule"") predates Belokolos 2017 by 34 years on the period-two structure. R 1450 attributed it to Belokolos; a correction is owed ... **Row 10 — Schwarz 2010** (JCE 87, 444, Fig. 1) ... is the Spectra Compendium's unattributed collapse coordinate; it has an owner."	3421502c-445a-4a4b-98f3-33fb524954de	LCP4	3	R 1450; Kitagawara & Barut 1983; Schwarz 2010	Two priority corrections owed to the published record that survive across sessions only in prose.	HIGH
PO-0040	CORRECTION	F46.1 was a limit cycle, not an unbinding channel	At β=0.4 the (Z=54, +6p) SCF is in a **limit cycle** — 300 and 600 iterations give identical energies to six decimals, so it is not slowly drifting, it is orbiting. At β=0.2 it converges in 72 iterations to a total energy **0.19 Ha lower** … **The repaired value falls exactly on the trend:** −0.07617 (52), −0.07922 (53), **−0.08193 (54)**	a91b9c71-6329-4b64-8fae-8b46e407239c	LCP45	3	F46.1; F47.2; Z=54; 6p	Closes a flag that blocked scoring at Z=57 and shows the 0.19 Ha 'unbinding' was entirely a damping artefact.	HIGH
PO-0041	CORRECTION	La and Ac are tie-break failures, not ordering failures	So the two standing failures of Madelung's rule — La and Ac — are both the same physics, and it is not a failure of ordering. **The rule presupposes a channel that exists; collapse decides when it starts existing.** That is a mechanism, computed, not a heuristic.	660925ab-b233-4f8b-b357-6fec74f7608f	LCP47	34	La(57); Ac(89); FIRST DIVERGENCE 25	Reframes the project's central result — earlier sessions recorded La as where the ordering fails, and that description is now known to be wrong.	HIGH
PO-0042	CORRECTION	F55.2 — s54's headline wrong: 5f and 6d both carry n+l=8	**F55.2 — s54's headline was wrong, and the truth is better.** 5f and 6d are both n+ℓ=8, so the Z=90 reversal cannot reach a clause that orders *by* n+ℓ. Checked across all eleven c=1e6 rows: **n+ℓ of the entrant is unchanged at every one.** The ordering clause survives the removal of relativity, on a sample chosen where reversal is cheapest. What is relativistic is thorium's configuration	cf8c39df-4f7b-4de1-874b-64192827230b	LCP53	3	F55.2; Z=90	Inverts a headline result: without it a later worker carries the false claim that the ordering clause is a relativistic artefact.	HIGH
PO-0043	CORRECTION	Under a self-consistent kernel the 100/106 result does not survive	**Result — the 100/106 does not survive.** Class 7/10: Tc, Gd, Cm fail. ... under the self-consistent density the gaps the penalty must bridge grow four- to ten-fold (Gd 0.057 → 0.397 Ha, Cm 0.125 → 0.439) while P grows ~20%. ... Under SCF, rule A drops 96 → 95, while rule B — the charge-1 object — jumps **87 → 97** and overtakes it.	348d8106-2350-450d-b30e-4c9ae3d04fbb	LCP6	7	P_iii; rule A; rule B; KERNEL-TEST §5	The standing 100/106 headline is kernel-dependent and the charge-1 object overtakes it - a reversal recorded only here.	HIGH
PO-0044	CORRECTION	minlog crosses zero at Z=51, not by descent	And §6 was right that it crosses zero and wrong about where. It crosses at **Z=51**, below every atom §6 was watching, by no descent at all.	8ac02856-ee3f-431c-8a8f-82db4a5a3959	LCP64	5	F67.1; Z=51	Corrects the surviving half of a withdrawn reading; the crossing location is the load-bearing part.	MEDIUM
PO-0045	CORRECTION	Th/90 unanswerability claim withdrawn as category error	"**The critical error is mine, and it is a category error.** Th/90 is a **tie-break** failure — an f-channel opening, alongside La/57 and Ac/89. Deliverable 1's *ordering* clause has zero failures across 107 steps, Th included. I used a tie-break result to make a claim about the ordering clause, then escalated it to ""the Challenge as literally posed is unanswerable at Z=90."""	f91d8d18-94d0-4a9a-b6a3-ecdba93009b9	LCP66	13	Clause 3; Deliverable 1; Th/90; s55	Retracts a strong claim that had entered the session record, and states the clause-hygiene rule that a tie-break result may never speak for the ordering clause.	HIGH
PO-0046	CORRECTION	"""Demonstration not explanation"" is self-imposed, not Lowdin's"	"**""Demonstration, not explanation"" is not Löwdin's standard. It is a standard this project imposed on itself in FINDING-ALPHA §0, in one session, and I have re-imported it every session since as though it were the brief.** Each time I do, a finished result gets restated as an unfinished one, and the session spends itself re-deriving its way back to where it already was. That is the loop."	f91d8d18-94d0-4a9a-b6a3-ecdba93009b9	LCP66	15	FINDING-ALPHA §0; R 1307; F65.2; F69.1	Names the mechanism of a five-session regression; without it the same false brief is re-imported next session.	HIGH
PO-0047	CORRECTION	Two supplied Löwdin quotations contradict; neither enters	"**Both supplied sentences fail — and they contradict each other.** Two different ""verbatim"" quotations of the same four-page paper, offered in consecutive turns. That is R 1544's pattern exactly: when two supplied specs disagree, the refusal to build from either is vindicated. Neither enters the record."	e7924d2b-3d7e-4b39-adf7-f72473113fde	LCP68	9	A1; R 1544; Scerri	Prevents a fabricated primary quotation entering the record, and names Scerri's p. 334 excerpts as the real target.	HIGH
PO-0048	CORRECTION	Withdrawn: the −0.10 Ha per added electron reading	"The ""−0.10 Ha per added electron"" I quoted from Mn→Fe, Gd→Tb, Cm→Bk was a misattribution: those pairs have the *same* d/f count in the core (Cr d⁵ vs Mn d⁵; Eu f⁷ vs Gd f⁷; Am f⁷ vs Cm f⁷) and differ in an outer s or d electron. That ~0.1 Ha is an outer‑shell screening effect on the residual, not intra‑shell growth. Recorded as withdrawn."	33b8eb6e-c6e8-4da6-b6f9-658fa727394e	LCP7	9	FINDING-T0b; Mn; Gd; Cm	A plausible quantitative law was stated and then withdrawn; unrecorded, it will be rediscovered as a finding.	HIGH
PO-0049	CORRECTION	F73.3 scoped — the chain does not consume the observed table	**The chain does not consume the observed table.** `nlchain.py` — the derivation itself — builds `ref_cfg` from `cfg_prev`, its own previous step. There is no `ground_occ` call deciding an entrant anywhere in it. The 107-row ordering result is built from the field, from the previous row, and from c. That is intact.	f6c82a04-35c5-401b-a480-91de409a462c	LCP70	21	F73.3; nlchain.py; F73.4	Bounds a flag that was filed at foundational volume and read as a collapse of forty sessions of work.	HIGH
PO-0050	CORRECTION	Z=89 runner-up is 7p, not 5f	What is genuinely new is small: ties excluded by measurement, the column cross-checked, and the runner-up identities — at Z=89 the runner-up is **7p, not 5f**, so the contest actinium loses is not the one the tie-break story names.	cfdc9eb0-8e59-42d3-96fe-5fb14ffd47b5	LCP73	3	Z=89	The narrative account of actinium's tie-break names the wrong opponent, and only this message records the correction.	HIGH
PO-0051	CORRECTION	F76.2 downgraded: margins measured against different opponents	The 35.58 mHa alarm was an artefact. The seed records disagree in **candidate-set size** (3, 4, 5 or 9 channels in common), and a margin is the gap to the runner-up — so where the list differs, **the margins were measured to different opponents.** On a common candidate set the seeds agree to 1.560 mHa worst case. Severity drops **STRUCTURAL → RECORD**.	cfdc9eb0-8e59-42d3-96fe-5fb14ffd47b5	LCP73	7	F76.2	A future worker reading the raw 35.58 mHa figure would re-open a falsification that was already explained and re-graded.	HIGH
