id	tier	title	section	claim_as_written	why_it_fails	what_settles_it	status	resolution
F-11	CRITICAL	Magnesium is the only real mineral, and it is market-limited	II §2, §4, §5	High-Purity Magnesium … mineral sales cover 100 % of facility operational and capital costs	Seawater Mg is 1,290 mg/L → ~79,600 t Mg/yr per module, which is real. As Mg(OH)₂ (~191,000 t/yr at ~$500/t) that is ~$95 M/yr — but one module is a few percent of the world Mg(OH)₂/MgO market and ten modules set the price. As magnesium metal the route is MgCl₂ electrolysis, evolving chlorine gas at ~38 MWh/t — 3 TWh/yr per module, more than the plant's whole energy budget, and the one genuinely toxic process in the document (author's chloride rule, 2026-09-11). Precipitating Mg(OH)₂ needs ~243,000 t/yr of lime, i.e. a kiln and ~144,000 t/yr of CO₂ per module, which is not 'zero impact'.	Carry Mg(OH)₂ as a slipstream product at a stated market share and a stated lime source; drop magnesium metal; delete 'battery-grade'.	OPEN	
F-12	CRITICAL	Salt disposal at 127 truckloads a day per module	II §3, §5	Industrial Salts (NaCl) as a revenue stream	61.7 M m³/yr × 27 g/L NaCl = 1.67 Mt/yr per module, 127 truckloads of 36 t every day. Bulk solar salt sells for $30–60/t (~$67 M/yr gross before haulage), California uses almost no road salt, and a handful of modules exceeds total US salt production (42 Mt/yr). The salt is a disposal cost, not a revenue line.	Author's direction 2026-09-11: drop ZLD, return brine through the retired plant's existing permitted outfall at Ocean Plan concentration (≤2 ppt above ambient at the mixing-zone edge). Resolves F-04 and F-12 together.	AGREED	
F-13	CRITICAL	LT-MED has no heat source on a coastal brownfield	II §2	LT-MED … runs on low-grade thermal energy; on-site solar and steam-topping turbine array	LT-MED needs ~70 kWh_th/m³ → ~490 MW_th continuous per module. A retired coastal plant has no such source; coastal DNI is ~30 % below the Mojave and fogged, and 'solar-thermal skids' on a ~50-acre brownfield deliver of order 10 MW. Making the heat from electricity via heat pump costs 17–23 kWh_e/m³; seawater RO does the same job at 3.2–3.6 kWh_e/m³. Thermal desalination is correct beside a thermal plant (the Gulf model; Diablo Canyon is California's one candidate) and RO is correct everywhere else.	Decide RO as the default process; keep LT-MED only where a named heat source of ≥500 MW_th per module exists.	OPEN	
F-14	CRITICAL	$400 per acre-foot	II §4	wholesale water … under $400 per acre-foot	$400/AF is $0.32/m³. The document's own operating cost is $0.85/m³ = $1,048/AF before capital. Carlsbad, the best comparable, delivers at ~$2,700–2,900/AF. The $400 depends entirely on the mineral offset (F-03, F-11, F-12).	Price water from the corrected cost build with energy at the Title I contract price; state the resulting $/AF.	OPEN	
F-15	CRITICAL	24 months to first water against the Coastal Act	II §4	under 24 months from breaking ground to first water delivery … under state sovereign drought-emergency authority	Carlsbad took 14 years from proposal to water; Huntington Beach was denied after 22. The binding constraint is not construction but the Coastal Commission CDP, the State Lands Commission lease, the Regional Board's Ocean Plan desalination amendment and CEQA. Gov. Code §8571 lets the Governor suspend statutes in a declared emergency, but it has never been used to site a permanent coastal industrial facility, would be enjoined immediately, and expires with the emergency. 'Sovereign authority' is asserted, not defined.	Name the legal instrument (a statutory permitting consolidation with fixed clocks, as in AB 900/SB 7), keep the Ocean Plan-compliant design (slant wells, diffuser outfall), and state an honest schedule.	OPEN	
F-16	CRITICAL	Title II CapEx 3–4× understated, and no capital source	II §4, §5	CAPEX $250–320 million per 50,000 AFY module; zero municipal bond debt … self-funding from day one	Carlsbad (56,000 AFY, RO, brownfield at Encina) cost ~$1.0 B in 2015 dollars — ~$18,000/AFY against the document's $5,700/AFY — and LT-MED + ZLD + crystallisers + a mineral train is more equipment than RO, not less. Separately: with 'zero bond debt' and 'zero taxpayer burden' the document names no source for the $250–320 M; a revenue allocation of 40/30/20/10 sums to 100 % with no line for debt service.	A bottom-up cost build per module and a stated financing structure (CPA revenue bonds under Title I's authority is the obvious one — which is the joinder).	OPEN	
F-17	MAJOR	Households, consumption and the bill example use three different numbers	I §1, §5	3,000,000 households; 3,000 MW in-state; bill comparison at 1,000 kWh/mo	3,000 MW × 8,760 h = 26.3 TWh = 8,760 kWh per household at 100 % CF. The bill example assumes 12,000 kWh/yr. California's actual residential average is ~6,300 kWh/yr. At the honest ~22 TWh net with zero export, the plant serves ~3.4 M households at the state average, ~1.8 M at the document's 1,000 kWh/mo. The $2,880/yr saving halves at the state average.	Fix the household consumption figure at the CEC residential average and recompute households served, savings and the in-state MW from it.	RESOLVED	tools/helios.py --households (F-17 block). Author 2026-09-11: 3 M households is a MINIMUM growing with population, so the size is a requirement, not a lever. At EIA 2024's 503 kWh/month (6,036 kWh/yr, SOURCED) 3 M households need 18.1 TWh; the plant as specified makes 19.2 -> 3.19 M households at zero export, so the size was right and only the export was wrong. Growth at 1-2 %/yr needs 1.3-1.7x the plant over the bond term. Per household at the required price: $613/yr at Title I's capex (-48 % vs today's $1,177 IOU generation charge), $1,033 / 1,244 / 1,528 at heliocost's built cases (-12 % / +6 % / +30 %): at the built cost the sovereign plant charges a household MORE than the IOU does today. No size answers that; only the equipment does.
F-18	MAJOR	RA revenue cannot be earned on exported energy	I §4.2, §9	CAISO Resource Adequacy (RA) Value $450 M on out-of-state export	Resource Adequacy is a CAISO product sold to CAISO load-serving entities. Energy sold out of state to WEIM or bilateral buyers is not available to CAISO as RA; the same MW cannot be counted twice. Out-of-state capacity contracts exist but are not 'CAISO RA', and their price is not the CAISO RA price.	Split: RA on the in-state capacity (which the CPA may self-supply if it is the LSE), a separate capacity product on export if any.	OPEN	
F-19	MAJOR	Bond rate assumes a credit the structure does not have	I §4.1	30-Year Tax-Exempt Revenue Bonds @ 3.85 % Fixed	3.85 % is an investment-grade municipal rate on a take-or-pay contracted revenue stream. First-of-kind CSP at 13× the largest built, with merchant export revenue and no offtake contract, is not that credit; comparable project revenue bonds price at 5.5–7 %. A State GO guarantee would restore the rate — and contradict 'self-funding'.	State the security: contracted offtake (in-state LSE contract, water contract) or a stated GO backstop, and price the bonds to it.	OPEN	
F-20	MAJOR	Mirror-washing water understated ~4×	I §2.1, §6, §9	Water Consumption ~405 acre-ft/yr across 3 nodes; sourced via pre-secured non-potable agricultural water rights	Ivanpah (dry-cooled, 2.6 M m²) uses ~100 AFY; scaled by aperture, 45.6 M m² is ~1,750 AFY. Kramer Junction has no agricultural water; the Mojave node's source is unnamed.	Scale from a built dry-cooled plant per m² and name the source per node.	OPEN	
F-21	MAJOR	Land footprint unstated	I §2, §6, §9	sites restricted strictly to state-owned or previously disturbed agricultural/industrial buffer lands	At ~20 % ground-cover ratio, 45.6 M m² of mirror is ~230 km² (~56,000 acres), 3.5× Ivanpah, whose 14 km² produced a multi-year desert-tortoise fight. No contiguous state-owned or previously-disturbed parcel of ~75 km² exists in the Mojave; fallowed Westside San Joaquin farmland does, and is a strength the document does not claim.	State the footprint per node and name candidate parcels; move share toward the Central Valley node where disturbed land exists (see F-22).	OPEN	
F-22	MAJOR	Nodes treated as identical; Central Valley DNI is 15–25 % lower	I §2, §3	three desert nodes … 1,750 MWe each	Westside San Joaquin DNI is ~6.0–6.5 kWh/m²/day against 7.5–8 in the Mojave and Imperial, with winter tule fog. The Central Valley node's output is 15–25 % below the other two for the same field; it is not a 'desert node'.	Per-node TMY in the hourly model; either a larger field there or a smaller nameplate.	OPEN	
F-23	MAJOR	Nitrate risk register absent	I §9	Risk matrix lists supply chain for nitrate salt only	Nitrate is the right medium (author's direction 2026-09-11) but its own hazards are missing: it is an oxidiser (no organics in the salt building), it decomposes above ~600 °C (flux control is a chemistry requirement), it freezes at ~238 °C (heat tracing and drain-down on every line), and the hot tank is the historical failure — Crescent Dunes lost eight months to a hot-tank leak in 2016. 1.665 Mt over 36 months is also of order 40–50 % of world solar-grade nitrate output.	Add four rows to §9 with a mitigation each; state the nitrate supply share against sourced world production.	OPEN	
F-24	MAJOR	Schedule: 5.25 GW in two construction years	I §8	Phase 3 (2028–2029) civil, towers, tanks, field; COD Q2 2030	Ivanpah (392 MW) took four construction years; Crescent Dunes (110 MW) four. 5.25 GW in two years is ~13× Ivanpah's build rate across three sites, with a heliostat line, a salt tank programme and 36 receivers that do not yet exist. The 2030 COD is not credible as stated.	A resource-loaded schedule per node with a phased COD (first node, first tower group) and the finance sized to the phasing.	OPEN	
F-25	MAJOR	Federal nexus defeats the CEQA-only permitting plan	I §9	statutory CEQA streamlining … capping judicial review windows at 180 days	The Mojave node near Kramer Junction almost certainly touches BLM land or a federally permitted transmission line; any federal nexus triggers NEPA, which no state statute can shorten. The 180-day CEQA cap (AB 900 / SB 7) also requires certification and a $100 M+ threshold, and applies to judicial review only, not to the EIR itself.	Site on state or private land with no federal nexus, or budget NEPA; cite the actual statute the cap comes from.	OPEN	
F-26	MAJOR	'50 % of hours at cheap or negative price' and a thermal plant that cannot cycle	II §2, §4	plant draws 50 % cheap or negative-price power from the CAISO grid	Negative or near-zero prices occur in ~5–15 % of CAISO hours, concentrated in spring middays. An LT-MED train cannot follow that at 50 % duty without wrecking its thermal economics; an RO train can, which is another argument for F-13.	Price energy at the Title I contract, or at an hourly CAISO shape with the plant's actual flexibility.	OPEN	
F-27	MAJOR	'100 % on-site power capacity' is 10–20× what a brownfield can host	II §2	dedicated on-site solar and steam-topping turbine array providing 100 % internal power capacity; full-load islanding	A module as written needs ~25 MW_e for LT-MED, ~176 MW_e for ZLD (F-04) and ~490 MW_th of heat. A ~50-acre coastal brownfield hosts of order 10 MW of PV. Islanding a 200 MW load on 10 MW of solar is not a capability.	Delete ZLD (F-12), adopt RO (F-13), and state islanding as what on-site generation actually covers.	OPEN	
F-28	MAJOR	Slant-well feasibility is site-specific and was the Huntington Beach failure	II §2	subsurface slant wells … eliminating 100 % of fish and plankton entrainment	Slant wells are what the Ocean Plan prefers, and that is a strength — but their feasibility depends on coastal geology, and at Huntington Beach Poseidon's own studies found them infeasible, which is why the Ocean Plan has a feasibility test. The 'where geology dictates' hedge means the zero-entrainment claim is conditional at every site.	Per-site hydrogeology; where wells are infeasible, state the screened-intake alternative and its (non-zero) entrainment.	OPEN	
F-29	MAJOR	No sensitivity or downside case in either Title	I §4.2, §9; II §4, §5	'Conservative' scenario is the 100 % CF case; mineral prices stated as fixed	Neither Title has a case in which a load-bearing input comes in worse than assumed. The Title I 'conservative' case is conservative in price only; the Title II model has no sensitivity to mineral prices, energy prices or capex at all. A revenue bond prospectus requires a downside case that still covers debt service.	A downside case per Title (CF −15 %, price −30 %, capex +50 %) that states its coverage ratio.	OPEN	
F-30	MAJOR	No contingency, reserve or overrun provision anywhere	I §4, §10; II §5	100 % of surplus distributed; 'Audited Baseline' capex; revenue split sums to 100 %	First-of-kind CSP has run 30–100 % over budget (Ivanpah, Crescent Dunes). Neither Title carries a construction contingency, a debt-service reserve fund or an overrun mechanism; Title II distributes 100 % of surplus by formula.	A contingency line (25–35 % on first-of-kind), a DSRF, and a stated overrun backstop.	OPEN	
F-31	MAJOR	The joinder does not exist	III	(no text)	The merged document carries no power-supply agreement, no shared balance sheet, no severability clause and no institutional relation between the Authority and the water program. The author's decision (one program, two projects, severable) is stated in chat only.	Write Title III once F-01..F-16 are resolved: contract price, volume, term; single financial statement; severability.	OPEN	
F-32	MINOR	'Supercritical Rankine' at 565 °C salt	I §2.1	Multi-module supercritical Rankine steam cycle	Supercritical steam needs ≥ 600 °C live steam; 565 °C salt gives ~540 °C steam and a subcritical reheat cycle at ~42 %. The efficiency used is right; the label is wrong.	Relabel as subcritical reheat.	OPEN	
F-33	MINOR	Seismic standard cited does not exist	I §9	CBC Title 24 Seismic Zone 4; PGA up to 0.75 g	CBC has not used seismic zones since 2001; design is site-specific under ASCE 7. Kramer Junction's mapped PGA is ~0.4–0.5 g. The 0.75 g target is fine; the citation will be caught.	Cite ASCE 7 site class and the mapped MCE.	OPEN	
F-34	MINOR	CO₂ figure descends from the inflated energy	I §6	eliminates 11.8 Million Metric Tons of CO₂ annually	At ~0.4 t/MWh marginal gas, the honest ~22 TWh net avoids ~8.6 MMT; the promised 39.6 TWh would avoid ~15.8. 11.8 sits between and cites neither.	Recompute from the hourly model at CAISO marginal emissions.	OPEN	
F-35	MINOR	HPRO in the ZLD train contradicts 'no membranes in the water path'	II §2, §3	eliminates fragile water-filtration membranes … routed through high-pressure reverse osmosis (HPRO)	Internal contradiction; moot if F-12 is adopted.	Resolve with F-12/F-13.	OPEN	
F-36	MINOR	Spent citric-acid CIP routed into mineral recovery	II §2	Spent wash solutions route directly into the mineral recovery train	Citrate chelates Ca and Mg and would suppress the Mg(OH)₂ precipitation it is being routed into.	Route CIP to neutralisation and the outfall, or to a separate evaporator.	OPEN	
F-37	MINOR	'Sovereign authority' is used as a mechanism and is not one	I passim; II §1, §4	state sovereign authority; sovereign drought-emergency authority	The mechanisms that exist are a statutory authority created by the Legislature (the original California Power Authority, SB 6X 2001, existed and was defunded by 2004 — a history the proposal should acknowledge) and Gov. Code §8571 emergency powers. 'Sovereign' names neither.	Define the Authority in the Act; cite §8571 only for what it can do.	OPEN	
F-38	MINOR	Permanent jobs and construction jobs unsupported	I §7	22,500 construction jobs; 1,350 permanent; $4.2 B multiplier	Plausible in magnitude (Crescent Dunes ~45 permanent per 110 MW scales to ~2,100; Ivanpah ~90 per 392 MW to ~1,200) but no basis stated; the multiplier is unsourced.	Cite the basis per MW from a built plant.	OPEN	
F-39	MINOR	Turnkey EPC with no EPC	I §4.1, §8	Total Turnkey EPC	No EPC contractor has delivered more than one commercial salt tower at a time in the US; the document names none. 'Turnkey' at 36 towers is a procurement strategy, not a fact.	Name the procurement structure (multiple EPCs by node, owner's engineer).	OPEN	
F-40	MINOR	40 dBA at the boundary unsupported	II §3	boundary noise below 40 dBA (quieter than a library)	RO high-pressure pumps and MVC crystallisers are 85–100 dBA at source. 40 dBA at a fence line is achievable with full enclosure and is a cost the document does not carry.	State the enclosure and its cost, or the boundary distance.	OPEN	
